time,Solar8000/CVP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,SNUADC/ART,Solar8000/ETCO2,Solar8000/ART_MBP,Solar8000/ART_DBP,Solar8000/HR,Solar8000/RR_CO2,Solar8000/PLETH_HR,SNUADC/ECG_V5,SNUADC/CVP
170,,NaN,88,,NaN,,,,148,,102,NaN,NaN
171,,NaN,,,NaN,,,,,,,NaN,NaN
172,,NaN,77,,NaN,,,,141,,92,NaN,NaN
173,,NaN,,,NaN,,,,,,,NaN,NaN
174,,NaN,78,,NaN,,,,156,,95,NaN,NaN
175,,NaN,,,NaN,,,,,,,NaN,NaN
176,,NaN,78,,NaN,,,,163,,95,NaN,NaN
177,,NaN,,,NaN,,,,,,,NaN,NaN
178,,NaN,78,,NaN,,,,147,,95,NaN,NaN
179,,NaN,,,NaN,,,,,,,NaN,NaN
180,,NaN,78,,NaN,,,,142,,95,NaN,NaN
181,,NaN,,,NaN,,,,,,,NaN,NaN
182,,NaN,78,,NaN,,,,151,,95,NaN,NaN
183,,NaN,,,NaN,,,,,,,NaN,NaN
184,,NaN,77,,NaN,,,,148,,92,NaN,NaN
185,,NaN,,,NaN,,,,,,,NaN,NaN
186,,NaN,77,,NaN,,,,168,,93,NaN,NaN
187,,NaN,,,NaN,,,,,,,NaN,NaN
188,,NaN,78,,NaN,,,,151,,95,NaN,NaN
189,,NaN,,,NaN,,,,,,,NaN,NaN
190,,NaN,77,,NaN,,,,142,,96,NaN,NaN
191,,NaN,,,NaN,,,,,,,NaN,NaN
192,,NaN,81,,NaN,,,,144,,101,NaN,NaN
193,,NaN,,,NaN,,,,,,,NaN,NaN
194,,NaN,79,,NaN,,,,140,,96,NaN,NaN
195,,NaN,,,NaN,,,,,,,NaN,NaN
196,,NaN,79,,NaN,,,,163,,96,NaN,NaN
197,,NaN,,,NaN,,,,,,,NaN,NaN
198,,NaN,79,,NaN,,,,159,,96,NaN,NaN
199,,NaN,,,NaN,,,,,,,NaN,NaN
200,,NaN,79,,NaN,,,,147,,94,NaN,NaN
201,,NaN,,,NaN,,,,,,,NaN,NaN
202,,NaN,79,,NaN,,,,151,,94,NaN,NaN
203,,NaN,,,NaN,,,,,,,NaN,NaN
204,,NaN,79,,NaN,,,,172,,94,NaN,NaN
205,,NaN,,,NaN,,,,,,,NaN,NaN
206,,NaN,79,,NaN,,,,155,,91,NaN,NaN
207,,NaN,,,NaN,,,,,,,NaN,NaN
208,,NaN,81,,NaN,,,,146,,90,NaN,NaN
209,,NaN,,,NaN,,,,,,,NaN,NaN
210,,NaN,84,,NaN,,,,148,,92,NaN,NaN
211,,NaN,,,NaN,,,,,,,NaN,NaN
212,,NaN,84,,NaN,,,,147,,92,NaN,NaN
213,,NaN,,,NaN,,,,,,,NaN,NaN
214,,NaN,82,,NaN,,,,145,,96,NaN,NaN
215,,NaN,,,NaN,,,,,,,NaN,NaN
216,,NaN,82,,NaN,,,,156,,94,NaN,NaN
217,,NaN,,,NaN,,,,,,,NaN,NaN
218,,NaN,82,,NaN,,,,153,,94,NaN,NaN
219,,NaN,,,NaN,,,,,,,NaN,NaN
220,,NaN,82,,NaN,,,,151,,94,NaN,NaN
221,,NaN,,,NaN,,,,,,,NaN,NaN
222,,NaN,82,,NaN,,,,147,,92,NaN,NaN
223,,NaN,,,NaN,,,,,,,NaN,NaN
224,,NaN,82,,NaN,,,,133,,92,NaN,NaN
225,,NaN,,,NaN,,,,,,,NaN,NaN
226,,NaN,82,,NaN,,,,155,,92,NaN,NaN
227,,NaN,,,NaN,,,,,,,NaN,NaN
228,,NaN,82,,NaN,,,,152,,92,NaN,NaN
229,,NaN,,,NaN,,,,,,,NaN,NaN
230,,NaN,83,,NaN,,,,157,,91,NaN,NaN
231,,NaN,,,NaN,,,,,,,NaN,NaN
232,,NaN,83,,NaN,,,,148,,91,NaN,NaN
233,,NaN,,,NaN,,,,,,,NaN,NaN
234,,NaN,,0,NaN,,0,0,137,,,NaN,NaN
235,,NaN,,,NaN,,,,,,,NaN,NaN
236,,NaN,84,0,NaN,,0,0,145,,89,NaN,NaN
237,,NaN,,,NaN,,,,,,,NaN,NaN
238,,NaN,84,0,NaN,,0,0,150,,89,NaN,NaN
239,,NaN,,,NaN,,,,,,,NaN,NaN
240,,NaN,87,0,NaN,,0,0,145,,90,NaN,NaN
241,,NaN,,,NaN,,,,,,,NaN,NaN
242,,NaN,89,0,NaN,,0,0,149,,87,NaN,NaN
243,,NaN,,,NaN,,,,,,,NaN,NaN
244,,NaN,93,0,NaN,,0,0,163,,87,NaN,NaN
245,,NaN,,,NaN,,,,,,,NaN,NaN
246,,NaN,93,1,NaN,,1,1,153,,87,NaN,NaN
247,,NaN,,,NaN,,,,,,,NaN,NaN
248,,NaN,97,1,NaN,,1,1,145,,93,NaN,NaN
249,,NaN,,,NaN,,,,,,,NaN,NaN
250,,NaN,95,1,NaN,,1,1,157,,97,NaN,NaN
251,,NaN,,,NaN,,,,,,,NaN,NaN
252,,NaN,95,1,NaN,,1,1,156,,97,NaN,NaN
253,,NaN,,,NaN,,,,,,,NaN,NaN
254,,NaN,81,-11,NaN,,-11,-11,154,,97,NaN,NaN
255,,NaN,,,NaN,,,,,,,NaN,NaN
256,,NaN,81,-11,NaN,,-11,-11,163,,97,NaN,NaN
257,,NaN,,,NaN,,,,,,,NaN,NaN
258,,NaN,81,-12,NaN,,-13,-16,159,,97,NaN,NaN
259,,NaN,,,NaN,,,,,,,NaN,NaN
260,,NaN,83,-8,NaN,,-14,-18,141,,97,NaN,NaN
261,,NaN,,,NaN,,,,,,,NaN,NaN
262,,NaN,83,-9,NaN,,-15,-22,138,,99,NaN,NaN
263,,NaN,,,NaN,,,,,,,NaN,NaN
264,,NaN,83,-9,NaN,,-15,-22,154,,99,NaN,NaN
265,,NaN,,,NaN,,,,,,,NaN,NaN
266,,NaN,83,-9,NaN,,-15,-22,163,,99,NaN,NaN
267,,NaN,,,NaN,,,,,,,NaN,NaN
268,,NaN,83,-14,NaN,,-14,-14,165,,99,NaN,NaN
269,,NaN,,,NaN,,,,,,,NaN,NaN
270,,NaN,83,-13,NaN,,-15,-18,156,,99,NaN,NaN
271,,NaN,,,NaN,,,,,,,NaN,NaN
272,,NaN,80,-13,NaN,,-15,-18,167,,103,NaN,NaN
273,,NaN,,,NaN,,,,,,,NaN,NaN
274,,NaN,,-13,NaN,,-15,-18,167,,,NaN,NaN
275,,NaN,,,NaN,,,,,,,NaN,NaN
276,,NaN,,-14,NaN,,-14,-14,148,,,NaN,NaN
277,,NaN,,,NaN,,,,,,,NaN,NaN
278,,NaN,,-13,NaN,,-14,-17,143,,,NaN,NaN
279,,NaN,,,NaN,,,,,,,NaN,NaN
280,,NaN,,-10,NaN,,-15,-19,160,,,NaN,NaN
281,,NaN,,,NaN,,,,,,,NaN,NaN
282,,NaN,,-11,NaN,,-15,-20,161,,,NaN,NaN
283,,NaN,,,NaN,,,,,,,NaN,NaN
284,0,NaN,,-11,NaN,,-15,-20,157,,,NaN,NaN
285,,NaN,,,NaN,,,,,,,NaN,NaN
286,0,NaN,,-14,NaN,,-14,-14,151,,,NaN,NaN
287,,NaN,,,NaN,,,,,,,NaN,NaN
288,-4,NaN,,,NaN,,-14,,154,,,NaN,NaN
289,,NaN,,,NaN,,,,,,,NaN,NaN
290,-4,NaN,,,NaN,,-14,,162,,,NaN,NaN
291,,NaN,,,NaN,,,,,,,NaN,NaN
292,-10,NaN,,,NaN,,-14,,160,,,NaN,NaN
293,,NaN,,,NaN,,,,,,,NaN,NaN
294,-10,NaN,86,,NaN,,-14,,151,,116,NaN,NaN
295,,NaN,,,NaN,,,,,,,NaN,NaN
296,-10,NaN,87,,NaN,,-14,,148,,119,NaN,NaN
297,,NaN,,,NaN,,,,,,,NaN,NaN
298,-10,NaN,89,,NaN,,-14,,148,,121,NaN,NaN
299,,NaN,,,NaN,,,,,,,NaN,NaN
300,-10,NaN,90,-14,NaN,,-14,-14,150,,134,NaN,NaN
301,,NaN,,,NaN,,,,,,,NaN,NaN
302,-10,NaN,91,-14,NaN,,-14,-14,155,,139,NaN,NaN
303,,NaN,,,NaN,,,,,,,NaN,NaN
304,-10,NaN,93,-14,NaN,,-14,-14,148,,149,NaN,NaN
305,,NaN,,,NaN,,,,,,,NaN,NaN
306,-10,NaN,95,-14,NaN,,-14,-14,154,,150,NaN,NaN
307,,NaN,,,NaN,,,,,,,NaN,NaN
308,-10,NaN,96,-14,NaN,,-14,-14,154,,146,NaN,NaN
309,,NaN,,,NaN,,,,,,,NaN,NaN
310,-10,NaN,96,-14,NaN,,-14,-14,146,,144,NaN,NaN
311,,NaN,,,NaN,,,,,,,NaN,NaN
312,-10,NaN,97,-14,NaN,,-14,-14,157,,150,NaN,NaN
313,,NaN,,,NaN,,,,,,,NaN,NaN
314,-10,NaN,97,-14,NaN,,-14,-14,161,,161,NaN,NaN
315,,NaN,,,NaN,,,,,,,NaN,NaN
316,-10,NaN,98,-14,NaN,,-14,-14,154,,152,NaN,NaN
317,,NaN,,,NaN,,,,,,,NaN,NaN
318,-10,NaN,98,-14,NaN,,-14,-14,160,,149,NaN,NaN
319,,NaN,,,NaN,,,,,,,NaN,NaN
320,-10,NaN,98,-14,NaN,,-14,-14,159,,144,NaN,NaN
321,,NaN,,,NaN,,,,,,,NaN,NaN
322,-10,NaN,98,-14,NaN,,-14,-14,156,,150,NaN,NaN
323,,NaN,,,NaN,,,,,,,NaN,NaN
324,-10,NaN,97,-14,NaN,,-14,-14,151,,147,NaN,NaN
325,,NaN,,,NaN,,,,,,,NaN,NaN
326,-11,NaN,97,-14,NaN,,-14,-14,155,,145,NaN,NaN
327,,NaN,,,NaN,,,,,,,NaN,NaN
328,-11,NaN,97,-14,NaN,,-14,-14,145,,141,NaN,NaN
329,,NaN,,,NaN,,,,,,,NaN,NaN
330,-10,NaN,97,-14,NaN,,-14,-14,155,,140,NaN,NaN
331,,NaN,,,NaN,,,,,,,NaN,NaN
332,-10,NaN,97,-14,NaN,,-14,-14,153,,140,NaN,NaN
333,,NaN,,,NaN,,,,,,,NaN,NaN
334,-10,NaN,97,-14,NaN,,-14,-14,149,,135,NaN,NaN
335,,NaN,,,NaN,,,,,,,NaN,NaN
336,-10,NaN,97,-14,NaN,,-14,-14,152,,144,NaN,NaN
337,,NaN,,,NaN,,,,,,,NaN,NaN
338,-10,NaN,97,-14,NaN,,-14,-14,164,,149,NaN,NaN
339,,NaN,,,NaN,,,,,,,NaN,NaN
340,-10,NaN,98,-14,NaN,,-14,-14,169,,139,NaN,NaN
341,,NaN,,,NaN,,,,,,,NaN,NaN
342,-10,NaN,98,-14,NaN,,-14,-14,156,,132,NaN,NaN
343,,NaN,,,NaN,,,,,,,NaN,NaN
344,-10,NaN,98,-14,NaN,,-14,-14,140,,116,NaN,NaN
345,,NaN,,,NaN,,,,,,,NaN,NaN
346,-10,NaN,98,-14,NaN,,-14,-14,146,,111,NaN,NaN
347,,NaN,,,NaN,,,,,,,NaN,NaN
348,-10,NaN,97,-14,NaN,,-14,-14,152,,127,NaN,NaN
349,,NaN,,,NaN,,,,,,,NaN,NaN
350,-10,NaN,97,-14,NaN,,-14,-14,156,,125,NaN,NaN
351,,NaN,,,NaN,,,,,,,NaN,NaN
352,-10,NaN,97,-14,NaN,,-14,-14,166,,134,NaN,NaN
353,,NaN,,,NaN,,,,,,,NaN,NaN
354,-10,NaN,96,-14,NaN,,-14,-14,147,,137,NaN,NaN
355,,NaN,,,NaN,,,,,,,NaN,NaN
356,-10,NaN,96,-14,NaN,,-14,-14,151,,136,NaN,NaN
357,,NaN,,,NaN,,,,,,,NaN,NaN
358,-10,NaN,97,-14,NaN,,-14,-14,146,,128,NaN,NaN
359,,NaN,,,NaN,,,,,,,NaN,NaN
360,-10,NaN,97,-14,NaN,,-14,-14,150,,125,NaN,NaN
361,,NaN,,,NaN,,,,,,,NaN,NaN
362,-10,NaN,97,-14,NaN,,-14,-14,154,,116,NaN,NaN
363,,NaN,,,NaN,,,,,,,NaN,NaN
364,-10,NaN,97,-14,NaN,,-14,-14,159,,116,NaN,NaN
365,,NaN,,,NaN,,,,,,,NaN,NaN
366,-10,NaN,98,-14,NaN,,-14,-14,149,,115,NaN,NaN
367,,NaN,,,NaN,,,,,,,NaN,NaN
368,-10,NaN,98,-14,NaN,,-14,-14,158,,123,NaN,NaN
369,,NaN,,,NaN,,,,,,,NaN,NaN
370,-10,NaN,97,-14,NaN,,-14,-14,153,,130,NaN,NaN
371,,NaN,,,NaN,,,,,,,NaN,NaN
372,-10,NaN,98,-14,NaN,,-14,-14,145,,139,NaN,NaN
373,,NaN,,,NaN,,,,,,,NaN,NaN
374,-10,NaN,97,-14,NaN,,-14,-14,146,,128,NaN,NaN
375,,NaN,,,NaN,,,,,,,NaN,NaN
376,-10,NaN,97,-14,NaN,,-14,-14,148,,127,NaN,NaN
377,,NaN,,,NaN,,,,,,,NaN,NaN
378,-10,NaN,97,-14,NaN,,-14,-14,160,,127,NaN,NaN
379,,NaN,,,NaN,,,,,,,NaN,NaN
380,-10,NaN,97,-14,NaN,,-14,-14,152,,129,NaN,NaN
381,,NaN,,,NaN,,,,,,,NaN,NaN
382,-10,NaN,96,-14,NaN,,-14,-14,157,,130,NaN,NaN
383,,NaN,,,NaN,,,,,,,NaN,NaN
384,-10,NaN,96,-14,NaN,,-14,-14,156,,134,NaN,NaN
385,,NaN,,,NaN,,,,,,,NaN,NaN
386,-10,NaN,97,-14,NaN,,-14,-14,159,,145,NaN,NaN
387,,NaN,,,NaN,,,,,,,NaN,NaN
388,-10,NaN,96,-14,NaN,,-14,-14,156,,149,NaN,NaN
389,,NaN,,,NaN,,,,,,,NaN,NaN
390,-10,NaN,96,-14,NaN,,-14,-14,160,,146,NaN,NaN
391,,NaN,,,NaN,,,,,,,NaN,NaN
392,-10,NaN,96,-14,NaN,,-14,-14,164,,143,NaN,NaN
393,,NaN,,,NaN,,,,,,,NaN,NaN
394,-11,NaN,96,-14,NaN,,-14,-14,149,,145,NaN,NaN
395,,NaN,,,NaN,,,,,,,NaN,NaN
396,-11,NaN,96,-14,NaN,,-14,-14,150,,145,NaN,NaN
397,,NaN,,,NaN,,,,,,,NaN,NaN
398,-10,NaN,97,-14,NaN,,-14,-14,156,,137,NaN,NaN
399,,NaN,,,NaN,,,,,,,NaN,NaN
400,-10,NaN,97,-14,NaN,,-14,-14,159,,137,NaN,NaN
401,,NaN,,,NaN,,,,,,,NaN,NaN
402,-10,NaN,96,-14,NaN,,-14,-14,156,,140,NaN,NaN
403,,NaN,,,NaN,,,,,,,NaN,NaN
404,-10,NaN,95,-14,NaN,,-14,-14,156,,149,NaN,NaN
405,,NaN,,,NaN,,,,,,,NaN,NaN
406,-10,NaN,95,-14,NaN,,-14,-14,161,,151,NaN,NaN
407,,NaN,,,NaN,,,,,,,NaN,NaN
408,-10,NaN,96,-14,NaN,,-14,-14,156,,156,NaN,NaN
409,,NaN,,,NaN,,,,,,,NaN,NaN
410,-10,NaN,96,-14,NaN,,-14,-14,156,,154,NaN,NaN
411,,NaN,,,NaN,,,,,,,NaN,NaN
412,-10,NaN,96,-14,NaN,,-14,-14,147,,153,NaN,NaN
413,,NaN,,,NaN,,,,,,,NaN,NaN
414,-10,NaN,97,-14,NaN,,-14,-14,148,,150,NaN,NaN
415,,NaN,,,NaN,,,,,,,NaN,NaN
416,-10,NaN,97,-14,NaN,,-14,-14,147,,143,NaN,NaN
417,,NaN,,,NaN,,,,,,,NaN,NaN
418,-10,NaN,97,-14,NaN,,-14,-14,148,,142,NaN,NaN
419,,NaN,,,NaN,,,,,,,NaN,NaN
420,-10,NaN,97,-14,NaN,,-14,-14,156,,142,NaN,NaN
421,,NaN,,,NaN,,,,,,,NaN,NaN
422,-10,NaN,98,-14,NaN,,-14,-14,156,,139,NaN,NaN
423,,NaN,,,NaN,,,,,,,NaN,NaN
424,-10,NaN,98,-14,NaN,,-14,-14,141,,134,NaN,NaN
425,,NaN,,,NaN,,,,,,,NaN,NaN
426,-10,NaN,98,-14,NaN,,-14,-14,145,,120,NaN,NaN
427,,NaN,,,NaN,,,,,,,NaN,NaN
428,-10,NaN,98,-14,NaN,,-14,-14,153,,108,NaN,NaN
429,,NaN,,,NaN,,,,,,,NaN,NaN
430,-10,NaN,98,-14,NaN,,-14,-14,150,,110,NaN,NaN
431,,NaN,,,NaN,,,,,,,NaN,NaN
432,-10,NaN,98,-14,NaN,,-14,-14,162,,94,NaN,NaN
433,,NaN,,,NaN,,,,,,,NaN,NaN
434,-10,NaN,98,-14,NaN,,-14,-14,159,,94,NaN,NaN
435,,NaN,,,NaN,,,,,,,NaN,NaN
436,-10,NaN,98,-14,NaN,,-14,-14,155,,99,NaN,NaN
437,,NaN,,,NaN,,,,,,,NaN,NaN
438,-10,NaN,99,-14,NaN,,-14,-14,162,,89,NaN,NaN
439,,NaN,,,NaN,,,,,,,NaN,NaN
440,-10,NaN,99,-14,NaN,,-14,-14,145,,94,NaN,NaN
441,,NaN,,,NaN,,,,,,,NaN,NaN
442,-10,NaN,99,-14,NaN,,-14,-14,134,,100,NaN,NaN
443,,NaN,,,NaN,,,,,,,NaN,NaN
444,-10,NaN,99,-14,NaN,,-14,-14,149,,99,NaN,NaN
445,,NaN,,,NaN,,,,,,,NaN,NaN
446,-11,NaN,99,-14,NaN,,-14,-14,148,,95,NaN,NaN
447,,NaN,,,NaN,,,,,,,NaN,NaN
448,-11,NaN,99,-14,NaN,,-14,-14,160,,111,NaN,NaN
449,,NaN,,,NaN,,,,,,,NaN,NaN
450,-11,NaN,99,-14,NaN,,-14,-14,147,,111,NaN,NaN
451,,NaN,,,NaN,,,,,,,NaN,NaN
452,-11,NaN,99,-14,NaN,,-14,-14,142,,129,NaN,NaN
453,,NaN,,,NaN,,,,,,,NaN,NaN
454,-11,NaN,99,-14,NaN,,-14,-14,149,,127,NaN,NaN
