time,SNUADC/ECG_II,Solar8000/HR,Solar8000/ART_SBP,Solar8000/CVP,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/CVP,SNUADC/ART,Solar8000/ETCO2,Solar8000/PLETH_HR,SNUADC/ECG_V5
270,NaN,,,,,,,,NaN,NaN,,,NaN
271,NaN,106,,276,99,166,4,,NaN,NaN,47,107,NaN
272,NaN,,,,,,,,NaN,NaN,,,NaN
273,NaN,106,,276,99,166,8,,NaN,NaN,47,107,NaN
274,NaN,,,,,,,,NaN,NaN,,,NaN
275,NaN,106,,276,99,151,8,,NaN,NaN,47,107,NaN
276,NaN,,,,,,,,NaN,NaN,,,NaN
277,NaN,106,,276,99,151,8,,NaN,NaN,47,107,NaN
278,NaN,,,,,,,,NaN,NaN,,,NaN
279,NaN,107,,276,99,150,10,,NaN,NaN,47,107,NaN
280,NaN,,,,,,,,NaN,NaN,,,NaN
281,NaN,106,,276,99,150,10,,NaN,NaN,47,107,NaN
282,NaN,,,,,,,,NaN,NaN,,,NaN
283,NaN,106,,276,99,149,10,,NaN,NaN,47,107,NaN
284,NaN,,,,,,,,NaN,NaN,,,NaN
285,NaN,113,,276,99,155,10,,NaN,NaN,47,107,NaN
286,NaN,,,,,,,,NaN,NaN,,,NaN
287,NaN,114,,276,99,150,11,,NaN,NaN,47,107,NaN
288,NaN,,,,,,,,NaN,NaN,,,NaN
289,NaN,114,,276,99,137,11,,NaN,NaN,47,108,NaN
290,NaN,,,,,,,,NaN,NaN,,,NaN
291,NaN,114,,276,99,134,11,,NaN,NaN,47,108,NaN
292,NaN,,,,,,,,NaN,NaN,,,NaN
293,NaN,114,144,276,99,119,12,95,NaN,NaN,46,109,NaN
294,NaN,,,,,,,,NaN,NaN,,,NaN
295,NaN,114,120,276,99,113,12,100,NaN,NaN,46,108,NaN
296,NaN,,,,,,,,NaN,NaN,,,NaN
297,NaN,107,120,276,99,111,12,102,NaN,NaN,46,108,NaN
298,NaN,,,,,,,,NaN,NaN,,,NaN
299,NaN,107,115,276,99,109,12,99,NaN,NaN,46,106,NaN
300,NaN,,,,,,,,NaN,NaN,,,NaN
301,NaN,107,116,276,99,109,12,102,NaN,NaN,45,107,NaN
302,NaN,,,,,,,,NaN,NaN,,,NaN
303,NaN,107,122,276,99,114,12,112,NaN,NaN,45,107,NaN
304,NaN,,,,,,,,NaN,NaN,,,NaN
305,NaN,107,123,276,99,115,12,115,NaN,NaN,45,107,NaN
306,NaN,,,,,,,,NaN,NaN,,,NaN
307,NaN,107,129,276,99,119,12,124,NaN,NaN,46,107,NaN
308,NaN,,,,,,,,NaN,NaN,,,NaN
309,NaN,113,113,276,99,107,12,85,NaN,NaN,46,107,NaN
310,NaN,,,,,,,,NaN,NaN,,,NaN
311,NaN,121,180,271,99,107,12,-88,NaN,NaN,46,107,NaN
312,NaN,,,,,,,,NaN,NaN,,,NaN
313,NaN,121,191,271,99,102,12,1,NaN,NaN,46,107,NaN
314,NaN,,,,,,,,NaN,NaN,,,NaN
315,NaN,106,191,270,99,102,12,1,NaN,NaN,46,106,NaN
316,NaN,,,,,,,,NaN,NaN,,,NaN
317,NaN,105,-53,270,99,96,12,0,NaN,NaN,46,106,NaN
318,NaN,,,,,,,,NaN,NaN,,,NaN
319,NaN,105,163,271,99,104,12,59,NaN,NaN,46,106,NaN
320,NaN,,,,,,,,NaN,NaN,,,NaN
321,NaN,105,155,271,99,107,12,79,NaN,NaN,46,106,NaN
322,NaN,,,,,,,,NaN,NaN,,,NaN
323,NaN,105,,270,99,33,12,,NaN,NaN,46,105,NaN
324,NaN,,,,,,,,NaN,NaN,,,NaN
325,NaN,104,,270,99,12,12,,NaN,NaN,46,104,NaN
326,NaN,,,,,,,,NaN,NaN,,,NaN
327,NaN,104,,269,99,54,12,,NaN,NaN,46,104,NaN
328,NaN,,,,,,,,NaN,NaN,,,NaN
329,NaN,104,,269,99,97,12,,NaN,NaN,46,104,NaN
330,NaN,,,,,,,,NaN,NaN,,,NaN
331,NaN,104,,269,99,105,12,,NaN,NaN,46,104,NaN
332,NaN,,,,,,,,NaN,NaN,,,NaN
333,NaN,104,,270,99,111,12,,NaN,NaN,46,104,NaN
334,NaN,,,,,,,,NaN,NaN,,,NaN
335,NaN,104,160,270,98,116,12,88,NaN,NaN,46,105,NaN
336,NaN,,,,,,,,NaN,NaN,,,NaN
337,NaN,104,177,270,97,114,12,49,NaN,NaN,46,106,NaN
338,NaN,,,,,,,,NaN,NaN,,,NaN
339,NaN,104,,270,95,117,12,,NaN,NaN,46,107,NaN
340,NaN,,,,,,,,NaN,NaN,,,NaN
341,NaN,104,,270,95,109,12,,NaN,NaN,46,106,NaN
342,NaN,,,,,,,,NaN,NaN,,,NaN
343,NaN,104,,270,96,108,12,,NaN,NaN,46,105,NaN
344,NaN,,,,,,,,NaN,NaN,,,NaN
345,NaN,104,,269,96,108,12,,NaN,NaN,46,105,NaN
346,NaN,,,,,,,,NaN,NaN,,,NaN
347,NaN,104,,269,97,108,12,,NaN,NaN,46,104,NaN
348,NaN,,,,,,,,NaN,NaN,,,NaN
349,NaN,104,,266,99,207,12,,NaN,NaN,46,104,NaN
350,NaN,,,,,,,,NaN,NaN,,,NaN
351,NaN,103,,266,99,232,12,,NaN,NaN,46,104,NaN
352,NaN,,,,,,,,NaN,NaN,,,NaN
353,NaN,103,,263,99,205,12,,NaN,NaN,46,104,NaN
354,NaN,,,,,,,,NaN,NaN,,,NaN
355,NaN,103,,263,99,205,12,,NaN,NaN,46,103,NaN
356,NaN,,,,,,,,NaN,NaN,,,NaN
357,NaN,102,,264,99,160,12,,NaN,NaN,46,103,NaN
358,NaN,,,,,,,,NaN,NaN,,,NaN
359,NaN,102,,264,99,120,12,,NaN,NaN,46,103,NaN
360,NaN,,,,,,,,NaN,NaN,,,NaN
361,NaN,102,,264,99,109,12,,NaN,NaN,46,103,NaN
362,NaN,,,,,,,,NaN,NaN,,,NaN
363,NaN,102,,265,99,103,12,,NaN,NaN,46,103,NaN
364,NaN,,,,,,,,NaN,NaN,,,NaN
365,NaN,102,139,265,99,101,12,74,NaN,NaN,46,103,NaN
366,NaN,,,,,,,,NaN,NaN,,,NaN
367,NaN,102,139,265,99,100,12,74,NaN,NaN,46,103,NaN
368,NaN,,,,,,,,NaN,NaN,,,NaN
369,NaN,102,137,265,99,99,12,73,NaN,NaN,46,102,NaN
370,NaN,,,,,,,,NaN,NaN,,,NaN
371,NaN,101,137,265,99,99,12,74,NaN,NaN,45,102,NaN
372,NaN,,,,,,,,NaN,NaN,,,NaN
373,NaN,101,136,265,99,98,12,72,NaN,NaN,45,102,NaN
374,NaN,,,,,,,,NaN,NaN,,,NaN
375,NaN,101,136,265,99,98,12,73,NaN,NaN,45,102,NaN
376,NaN,,,,,,,,NaN,NaN,,,NaN
377,NaN,101,135,265,99,97,12,72,NaN,NaN,45,101,NaN
378,NaN,,,,,,,,NaN,NaN,,,NaN
379,NaN,101,134,265,99,97,12,72,NaN,NaN,45,101,NaN
380,NaN,,,,,,,,NaN,NaN,,,NaN
381,NaN,100,134,265,99,96,12,70,NaN,NaN,45,101,NaN
382,NaN,,,,,,,,NaN,NaN,,,NaN
383,NaN,100,131,265,99,95,12,71,NaN,NaN,45,101,NaN
384,NaN,,,,,,,,NaN,NaN,,,NaN
385,NaN,100,132,265,99,94,12,66,NaN,NaN,45,101,NaN
386,NaN,,,,,,,,NaN,NaN,,,NaN
387,NaN,100,130,265,99,94,12,69,NaN,NaN,45,101,NaN
388,NaN,,,,,,,,NaN,NaN,,,NaN
389,NaN,100,131,265,99,94,12,68,NaN,NaN,45,101,NaN
390,NaN,,,,,,,,NaN,NaN,,,NaN
391,NaN,100,130,265,99,93,13,70,NaN,NaN,45,101,NaN
392,NaN,,,,,,,,NaN,NaN,,,NaN
393,NaN,100,132,265,99,94,13,71,NaN,NaN,45,101,NaN
394,NaN,,,,,,,,NaN,NaN,,,NaN
395,NaN,100,135,265,99,96,13,72,NaN,NaN,45,101,NaN
396,NaN,,,,,,,,NaN,NaN,,,NaN
397,NaN,101,138,-8,99,98,13,74,NaN,NaN,45,102,NaN
398,NaN,,,,,,,,NaN,NaN,,,NaN
399,NaN,101,139,-8,99,98,13,74,NaN,NaN,45,102,NaN
400,NaN,,,,,,,,NaN,NaN,,,NaN
401,NaN,102,139,-13,99,99,13,74,NaN,NaN,45,102,NaN
402,NaN,,,,,,,,NaN,NaN,,,NaN
403,NaN,101,137,-13,99,97,13,72,NaN,NaN,45,102,NaN
404,NaN,,,,,,,,NaN,NaN,,,NaN
405,NaN,102,136,-13,99,97,14,73,NaN,NaN,45,102,NaN
406,NaN,,,,,,,,NaN,NaN,,,NaN
407,NaN,102,134,-13,99,96,14,71,NaN,NaN,45,102,NaN
408,NaN,,,,,,,,NaN,NaN,,,NaN
409,NaN,102,134,-13,99,96,14,72,NaN,NaN,45,102,NaN
410,NaN,,,,,,,,NaN,NaN,,,NaN
411,NaN,102,132,-13,99,95,14,70,NaN,NaN,45,102,NaN
412,NaN,,,,,,,,NaN,NaN,,,NaN
413,NaN,102,132,-13,99,94,14,70,NaN,NaN,44,102,NaN
414,NaN,,,,,,,,NaN,NaN,,,NaN
415,NaN,101,132,-13,99,94,14,70,NaN,NaN,44,101,NaN
416,NaN,,,,,,,,NaN,NaN,,,NaN
417,NaN,101,131,-13,99,93,14,70,NaN,NaN,44,101,NaN
418,NaN,,,,,,,,NaN,NaN,,,NaN
419,NaN,101,132,-13,99,93,14,70,NaN,NaN,44,102,NaN
420,NaN,,,,,,,,NaN,NaN,,,NaN
421,NaN,101,130,-13,99,92,14,69,NaN,NaN,44,101,NaN
422,NaN,,,,,,,,NaN,NaN,,,NaN
423,NaN,101,130,-13,99,92,14,69,NaN,NaN,44,101,NaN
424,NaN,,,,,,,,NaN,NaN,,,NaN
425,NaN,100,128,-13,99,91,14,68,NaN,NaN,44,101,NaN
426,NaN,,,,,,,,NaN,NaN,,,NaN
427,NaN,100,128,-12,99,91,14,67,NaN,NaN,44,101,NaN
428,NaN,,,,,,,,NaN,NaN,,,NaN
429,NaN,100,127,-12,99,90,14,67,NaN,NaN,44,101,NaN
430,NaN,,,,,,,,NaN,NaN,,,NaN
431,NaN,100,128,-12,99,90,14,68,NaN,NaN,44,101,NaN
432,NaN,,,,,,,,NaN,NaN,,,NaN
433,NaN,100,126,-12,99,89,14,66,NaN,NaN,44,101,NaN
434,NaN,,,,,,,,NaN,NaN,,,NaN
435,NaN,100,126,-12,99,89,14,67,NaN,NaN,44,101,NaN
436,NaN,,,,,,,,NaN,NaN,,,NaN
437,NaN,100,125,-12,99,88,14,66,NaN,NaN,44,100,NaN
438,NaN,,,,,,,,NaN,NaN,,,NaN
439,NaN,100,125,-12,99,88,14,67,NaN,NaN,44,100,NaN
440,NaN,,,,,,,,NaN,NaN,,,NaN
