time,Solar8000/ETCO2,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/HR,SNUADC/ECG_II,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/ART_MBP,Solar8000/CVP,Solar8000/ART_DBP,SNUADC/ART,SNUADC/CVP
47,0,100,,NaN,70,NaN,81,,21,-6,,NaN,NaN
48,,,,NaN,,NaN,,,,,,NaN,NaN
49,0,100,,NaN,73,NaN,77,,21,-6,,NaN,NaN
50,,,,NaN,,NaN,,,,,,NaN,NaN
51,0,100,,NaN,74,NaN,75,,21,-6,,NaN,NaN
52,,,,NaN,,NaN,,,,,,NaN,NaN
53,0,100,,NaN,88,NaN,76,,21,-6,,NaN,NaN
54,,,,NaN,,NaN,,,,,,NaN,NaN
55,0,100,,NaN,87,NaN,77,,21,-6,,NaN,NaN
56,,,,NaN,,NaN,,,,,,NaN,NaN
57,0,100,,NaN,86,NaN,79,,21,-6,,NaN,NaN
58,,,,NaN,,NaN,,,,,,NaN,NaN
59,0,100,,NaN,81,NaN,79,,21,-6,,NaN,NaN
60,,,,NaN,,NaN,,,,,,NaN,NaN
61,0,100,,NaN,86,NaN,80,,21,-7,,NaN,NaN
62,,,,NaN,,NaN,,,,,,NaN,NaN
63,0,100,,NaN,88,NaN,81,,21,-7,,NaN,NaN
64,,,,NaN,,NaN,,,,,,NaN,NaN
65,0,100,,NaN,90,NaN,84,,21,-7,,NaN,NaN
66,,,,NaN,,NaN,,,,,,NaN,NaN
67,0,100,,NaN,91,NaN,94,,22,-7,,NaN,NaN
68,,,,NaN,,NaN,,,,,,NaN,NaN
69,0,98,,NaN,91,NaN,96,,22,-7,,NaN,NaN
70,,,,NaN,,NaN,,,,,,NaN,NaN
71,0,98,,NaN,90,NaN,96,,22,-7,,NaN,NaN
72,,,,NaN,,NaN,,,,,,NaN,NaN
73,0,98,,NaN,87,NaN,96,,22,-7,,NaN,NaN
74,,,,NaN,,NaN,,,,,,NaN,NaN
75,0,98,,NaN,81,NaN,96,,22,-7,,NaN,NaN
76,,,,NaN,,NaN,,,,,,NaN,NaN
77,0,98,,NaN,77,NaN,96,,22,-7,,NaN,NaN
78,,,,NaN,,NaN,,,,,,NaN,NaN
79,0,95,,NaN,73,NaN,96,,22,-7,,NaN,NaN
80,,,,NaN,,NaN,,,,,,NaN,NaN
81,0,95,,NaN,72,NaN,96,,22,-7,,NaN,NaN
82,,,,NaN,,NaN,,,,,,NaN,NaN
83,0,,,NaN,72,NaN,,,22,-7,,NaN,NaN
84,,,,NaN,,NaN,,,,,,NaN,NaN
85,0,,,NaN,74,NaN,,,22,-7,,NaN,NaN
86,,,,NaN,,NaN,,,,,,NaN,NaN
87,0,100,,NaN,75,NaN,89,,22,-7,,NaN,NaN
88,,,,NaN,,NaN,,,,,,NaN,NaN
89,0,100,,NaN,74,NaN,79,,22,-7,,NaN,NaN
90,,,,NaN,,NaN,,,,,,NaN,NaN
91,0,100,,NaN,72,NaN,78,,22,-7,,NaN,NaN
92,,,,NaN,,NaN,,,,,,NaN,NaN
93,0,100,,NaN,71,NaN,73,,21,-7,,NaN,NaN
94,,,,NaN,,NaN,,,,,,NaN,NaN
95,0,100,,NaN,72,NaN,73,,21,-8,,NaN,NaN
96,,,,NaN,,NaN,,,,,,NaN,NaN
97,0,100,,NaN,73,NaN,74,,21,-8,,NaN,NaN
98,,,,NaN,,NaN,,,,,,NaN,NaN
99,0,100,,NaN,73,NaN,74,,21,-8,,NaN,NaN
100,,,,NaN,,NaN,,,,,,NaN,NaN
101,0,100,,NaN,77,NaN,78,,21,-8,,NaN,NaN
102,,,,NaN,,NaN,,,,,,NaN,NaN
103,0,100,,NaN,82,NaN,79,,21,-8,,NaN,NaN
104,,,,NaN,,NaN,,,,,,NaN,NaN
105,0,100,,NaN,82,NaN,83,,21,-8,,NaN,NaN
106,,,,NaN,,NaN,,,,,,NaN,NaN
107,0,100,,NaN,85,NaN,86,,21,-8,,NaN,NaN
108,,,,NaN,,NaN,,,,,,NaN,NaN
109,0,100,,NaN,85,NaN,85,,21,-8,,NaN,NaN
110,,,,NaN,,NaN,,,,,,NaN,NaN
111,0,100,,NaN,79,NaN,81,,21,-8,,NaN,NaN
112,,,,NaN,,NaN,,,,,,NaN,NaN
113,0,100,,NaN,75,NaN,78,,22,-8,,NaN,NaN
114,,,,NaN,,NaN,,,,,,NaN,NaN
115,0,100,,NaN,71,NaN,74,,22,-8,,NaN,NaN
116,,,,NaN,,NaN,,,,,,NaN,NaN
117,0,100,,NaN,73,NaN,74,,22,-8,,NaN,NaN
118,,,,NaN,,NaN,,,,,,NaN,NaN
119,0,100,,NaN,74,NaN,74,,22,-8,,NaN,NaN
120,,,,NaN,,NaN,,,,,,NaN,NaN
121,0,100,22,NaN,73,NaN,73,,22,-8,22,NaN,NaN
122,,,,NaN,,NaN,,,,,,NaN,NaN
123,0,100,22,NaN,72,NaN,73,,22,-8,22,NaN,NaN
124,,,,NaN,,NaN,,,,,,NaN,NaN
125,0,100,22,NaN,69,NaN,71,,22,-8,22,NaN,NaN
126,,,,NaN,,NaN,,,,,,NaN,NaN
127,0,100,24,NaN,69,NaN,70,,22,-8,20,NaN,NaN
128,,,,NaN,,NaN,,,,,,NaN,NaN
129,0,100,23,NaN,69,NaN,70,,22,-8,20,NaN,NaN
130,,,,NaN,,NaN,,,,,,NaN,NaN
131,0,100,23,NaN,69,NaN,70,,22,-8,20,NaN,NaN
132,,,,NaN,,NaN,,,,,,NaN,NaN
133,0,100,23,NaN,69,NaN,70,,22,-9,20,NaN,NaN
134,,,,NaN,,NaN,,,,,,NaN,NaN
135,0,100,23,NaN,69,NaN,70,,22,-9,20,NaN,NaN
136,,,,NaN,,NaN,,,,,,NaN,NaN
137,0,100,22,NaN,69,NaN,72,,22,-9,22,NaN,NaN
138,,,,NaN,,NaN,,,,,,NaN,NaN
139,0,99,22,NaN,69,NaN,76,,22,-9,20,NaN,NaN
140,,,,NaN,,NaN,,,,,,NaN,NaN
141,0,99,22,NaN,69,NaN,78,,22,-9,20,NaN,NaN
142,,,,NaN,,NaN,,,,,,NaN,NaN
143,0,99,22,NaN,70,NaN,79,,22,-9,20,NaN,NaN
144,,,,NaN,,NaN,,,,,,NaN,NaN
145,0,99,21,NaN,73,NaN,79,,21,-9,21,NaN,NaN
146,,,,NaN,,NaN,,,,,,NaN,NaN
147,0,99,21,NaN,73,NaN,79,,21,-9,21,NaN,NaN
148,,,,NaN,,NaN,,,,,,NaN,NaN
149,0,99,21,NaN,73,NaN,79,,21,-9,21,NaN,NaN
150,,,,NaN,,NaN,,,,,,NaN,NaN
151,0,99,21,NaN,73,NaN,81,,21,-9,21,NaN,NaN
152,,,,NaN,,NaN,,,,,,NaN,NaN
153,0,99,22,NaN,73,NaN,81,,21,-9,20,NaN,NaN
154,,,,NaN,,NaN,,,,,,NaN,NaN
155,0,99,22,NaN,75,NaN,79,,21,-10,20,NaN,NaN
156,,,,NaN,,NaN,,,,,,NaN,NaN
157,0,100,22,NaN,74,NaN,76,,21,-10,20,NaN,NaN
158,,,,NaN,,NaN,,,,,,NaN,NaN
159,0,100,22,NaN,74,NaN,73,,21,-10,20,NaN,NaN
160,,,,NaN,,NaN,,,,,,NaN,NaN
161,0,100,22,NaN,74,NaN,72,,21,-10,20,NaN,NaN
162,,,,NaN,,NaN,,,,,,NaN,NaN
163,0,100,22,NaN,74,NaN,72,,21,-10,20,NaN,NaN
164,,,,NaN,,NaN,,,,,,NaN,NaN
165,0,100,22,NaN,74,NaN,75,,22,-10,22,NaN,NaN
166,,,,NaN,,NaN,,,,,,NaN,NaN
167,0,100,22,NaN,74,NaN,80,,22,-10,20,NaN,NaN
168,,,,NaN,,NaN,,,,,,NaN,NaN
169,0,100,22,NaN,76,NaN,83,,22,-10,20,NaN,NaN
170,,,,NaN,,NaN,,,,,,NaN,NaN
171,0,100,22,NaN,80,NaN,86,,22,-10,22,NaN,NaN
172,,,,NaN,,NaN,,,,,,NaN,NaN
173,0,100,22,NaN,89,NaN,89,,22,-10,22,NaN,NaN
174,,,,NaN,,NaN,,,,,,NaN,NaN
175,0,100,22,NaN,90,NaN,90,,22,-10,22,NaN,NaN
176,,,,NaN,,NaN,,,,,,NaN,NaN
177,0,100,22,NaN,89,NaN,90,,22,-10,22,NaN,NaN
178,,,,NaN,,NaN,,,,,,NaN,NaN
179,0,100,22,NaN,85,NaN,87,,22,-10,22,NaN,NaN
180,,,,NaN,,NaN,,,,,,NaN,NaN
181,0,100,22,NaN,77,NaN,82,,22,-10,22,NaN,NaN
182,,,,NaN,,NaN,,,,,,NaN,NaN
183,0,100,22,NaN,75,NaN,78,,22,-10,22,NaN,NaN
184,,,,NaN,,NaN,,,,,,NaN,NaN
185,0,100,22,NaN,76,NaN,76,,22,-10,22,NaN,NaN
186,,,,NaN,,NaN,,,,,,NaN,NaN
187,0,100,21,NaN,78,NaN,76,,21,-10,21,NaN,NaN
188,,,,NaN,,NaN,,,,,,NaN,NaN
189,0,100,21,NaN,77,NaN,76,,21,-11,21,NaN,NaN
190,,,,NaN,,NaN,,,,,,NaN,NaN
191,0,100,21,NaN,77,NaN,76,,21,-11,21,NaN,NaN
192,,,,NaN,,NaN,,,,,,NaN,NaN
193,0,100,21,NaN,81,NaN,76,,21,-11,21,NaN,NaN
194,,,,NaN,,NaN,,,,,,NaN,NaN
195,0,100,21,NaN,84,NaN,76,,21,-11,21,NaN,NaN
196,,,,NaN,,NaN,,,,,,NaN,NaN
197,0,100,21,NaN,82,NaN,76,,21,-11,21,NaN,NaN
198,,,,NaN,,NaN,,,,,,NaN,NaN
199,0,,21,NaN,78,NaN,,,21,-11,21,NaN,NaN
200,,,,NaN,,NaN,,,,,,NaN,NaN
201,0,,21,NaN,77,NaN,,,21,-11,21,NaN,NaN
202,,,,NaN,,NaN,,,,,,NaN,NaN
203,30,,21,NaN,81,NaN,,,21,-11,21,NaN,NaN
204,,,,NaN,,NaN,,,,,,NaN,NaN
205,30,,21,NaN,84,NaN,,,21,-11,21,NaN,NaN
206,,,,NaN,,NaN,,,,,,NaN,NaN
207,30,,21,NaN,83,NaN,,,21,-11,21,NaN,NaN
208,,,,NaN,,NaN,,,,,,NaN,NaN
209,,,21,NaN,82,NaN,,,21,-11,21,NaN,NaN
210,,,,NaN,,NaN,,,,,,NaN,NaN
211,,,21,NaN,83,NaN,,,21,-10,21,NaN,NaN
212,,,,NaN,,NaN,,,,,,NaN,NaN
213,,,21,NaN,82,NaN,,,21,-10,21,NaN,NaN
214,,,,NaN,,NaN,,,,,,NaN,NaN
215,,,21,NaN,81,NaN,,,21,-10,21,NaN,NaN
216,,,,NaN,,NaN,,,,,,NaN,NaN
217,,,21,NaN,80,NaN,,,21,-10,21,NaN,NaN
218,,,,NaN,,NaN,,,,,,NaN,NaN
219,,100,21,NaN,80,NaN,81,,21,-10,21,NaN,NaN
220,,,,NaN,,NaN,,,,,,NaN,NaN
221,,100,21,NaN,82,NaN,83,,21,-10,21,NaN,NaN
222,,,,NaN,,NaN,,,,,,NaN,NaN
223,,100,21,NaN,79,NaN,81,,21,-9,21,NaN,NaN
224,,,,NaN,,NaN,,,,,,NaN,NaN
225,,100,21,NaN,76,NaN,79,,21,-9,21,NaN,NaN
226,,,,NaN,,NaN,,,,,,NaN,NaN
227,,100,21,NaN,74,NaN,77,,21,-9,21,NaN,NaN
228,,,,NaN,,NaN,,,,,,NaN,NaN
229,,100,21,NaN,77,NaN,77,,21,-9,21,NaN,NaN
230,,,,NaN,,NaN,,,,,,NaN,NaN
231,,100,21,NaN,79,NaN,79,,21,-9,21,NaN,NaN
232,,,,NaN,,NaN,,,,,,NaN,NaN
233,,100,21,NaN,77,NaN,78,,21,-9,21,NaN,NaN
234,,,,NaN,,NaN,,,,,,NaN,NaN
235,,100,21,NaN,75,NaN,77,,21,-9,21,NaN,NaN
236,,,,NaN,,NaN,,,,,,NaN,NaN
237,,100,20,NaN,75,NaN,76,,20,-9,20,NaN,NaN
238,,,,NaN,,NaN,,,,,,NaN,NaN
239,,100,20,NaN,78,NaN,77,,20,-9,20,NaN,NaN
240,,,,NaN,,NaN,,,,,,NaN,NaN
241,,100,26,NaN,79,NaN,79,,20,-8,18,NaN,NaN
242,,,,NaN,,NaN,,,,,,NaN,NaN
243,,100,26,NaN,80,NaN,81,,20,-8,18,NaN,NaN
244,,,,NaN,,NaN,,,,,,NaN,NaN
245,,100,21,NaN,80,NaN,80,,21,-8,21,NaN,NaN
246,,,,NaN,,NaN,,,,,,NaN,NaN
247,,100,21,NaN,80,NaN,80,,21,-8,21,NaN,NaN
248,,,,NaN,,NaN,,,,,,NaN,NaN
249,,100,21,NaN,77,NaN,79,,21,-8,21,NaN,NaN
250,,,,NaN,,NaN,,,,,,NaN,NaN
251,,100,21,NaN,74,NaN,76,,21,-8,21,NaN,NaN
252,,,,NaN,,NaN,,,,,,NaN,NaN
253,,100,21,NaN,73,NaN,75,,21,-7,21,NaN,NaN
254,,,,NaN,,NaN,,,,,,NaN,NaN
255,,100,21,NaN,72,NaN,74,,21,-7,21,NaN,NaN
256,,,,NaN,,NaN,,,,,,NaN,NaN
257,,100,21,NaN,72,NaN,74,,21,-7,21,NaN,NaN
258,,,,NaN,,NaN,,,,,,NaN,NaN
259,,100,21,NaN,80,NaN,81,,21,-7,21,NaN,NaN
260,,,,NaN,,NaN,,,,,,NaN,NaN
261,,100,22,NaN,90,NaN,85,,22,-7,22,NaN,NaN
262,,,,NaN,,NaN,,,,,,NaN,NaN
263,,100,22,NaN,100,NaN,87,,22,-7,22,NaN,NaN
264,,,,NaN,,NaN,,,,,,NaN,NaN
265,,100,23,NaN,103,NaN,89,,22,-7,19,NaN,NaN
266,,,,NaN,,NaN,,,,,,NaN,NaN
267,,100,24,NaN,103,NaN,90,,21,-7,19,NaN,NaN
268,,,,NaN,,NaN,,,,,,NaN,NaN
269,,100,24,NaN,102,NaN,90,,21,-7,19,NaN,NaN
270,,,,NaN,,NaN,,,,,,NaN,NaN
271,,100,21,NaN,98,NaN,90,,21,-6,21,NaN,NaN
272,,,,NaN,,NaN,,,,,,NaN,NaN
273,,100,22,NaN,90,NaN,90,,21,-6,19,NaN,NaN
274,,,,NaN,,NaN,,,,,,NaN,NaN
275,,100,23,NaN,84,NaN,90,,21,-7,19,NaN,NaN
276,,,,NaN,,NaN,,,,,,NaN,NaN
277,,100,23,NaN,77,NaN,90,,21,-7,18,NaN,NaN
278,,,,NaN,,NaN,,,,,,NaN,NaN
279,,,23,NaN,73,NaN,,,21,-6,18,NaN,NaN
280,,,,NaN,,NaN,,,,,,NaN,NaN
281,,,23,NaN,70,NaN,,,21,-6,18,NaN,NaN
282,,,,NaN,,NaN,,,,,,NaN,NaN
283,,,21,NaN,69,NaN,,,21,-6,21,NaN,NaN
284,,,,NaN,,NaN,,,,,,NaN,NaN
285,,,21,NaN,68,NaN,,,21,-6,21,NaN,NaN
286,,,,NaN,,NaN,,,,,,NaN,NaN
287,,100,21,NaN,68,NaN,81,,21,-6,21,NaN,NaN
288,,,,NaN,,NaN,,,,,,NaN,NaN
289,,100,21,NaN,67,NaN,79,,21,-6,21,NaN,NaN
290,,,,NaN,,NaN,,,,,,NaN,NaN
291,,100,21,NaN,67,NaN,76,,21,-5,21,NaN,NaN
292,,,,NaN,,NaN,,,,,,NaN,NaN
293,,100,21,NaN,66,NaN,69,,21,-5,21,NaN,NaN
294,,,,NaN,,NaN,,,,,,NaN,NaN
295,,100,21,NaN,65,NaN,68,,21,-5,21,NaN,NaN
296,,,,NaN,,NaN,,,,,,NaN,NaN
297,,100,21,NaN,65,NaN,66,,21,-5,21,NaN,NaN
298,,,,NaN,,NaN,,,,,,NaN,NaN
299,,100,21,NaN,65,NaN,66,,21,-5,21,NaN,NaN
300,,,,NaN,,NaN,,,,,,NaN,NaN
301,,100,33,NaN,64,NaN,65,,20,-5,5,NaN,NaN
302,,,,NaN,,NaN,,,,,,NaN,NaN
303,,100,27,NaN,64,NaN,65,,20,-5,14,NaN,NaN
304,,,,NaN,,NaN,,,,,,NaN,NaN
305,,100,27,NaN,64,NaN,65,,20,-6,14,NaN,NaN
306,,,,NaN,,NaN,,,,,,NaN,NaN
307,,100,30,NaN,64,NaN,64,,20,-6,10,NaN,NaN
308,,,,NaN,,NaN,,,,,,NaN,NaN
309,,100,30,NaN,64,NaN,64,,20,-5,10,NaN,NaN
310,,,,NaN,,NaN,,,,,,NaN,NaN
311,,100,20,NaN,64,NaN,64,,20,-5,20,NaN,NaN
312,,,,NaN,,NaN,,,,,,NaN,NaN
313,,100,20,NaN,64,NaN,64,,20,-4,20,NaN,NaN
314,,,,NaN,,NaN,,,,,,NaN,NaN
315,,100,20,NaN,63,NaN,64,,20,-4,20,NaN,NaN
316,,,,NaN,,NaN,,,,,,NaN,NaN
317,,100,20,NaN,63,NaN,64,,20,-4,20,NaN,NaN
318,,,,NaN,,NaN,,,,,,NaN,NaN
319,,100,20,NaN,63,NaN,63,,20,-4,20,NaN,NaN
320,,,,NaN,,NaN,,,,,,NaN,NaN
321,,100,20,NaN,62,NaN,63,,20,-4,20,NaN,NaN
322,,,,NaN,,NaN,,,,,,NaN,NaN
323,,100,20,NaN,62,NaN,63,,20,-4,20,NaN,NaN
324,,,,NaN,,NaN,,,,,,NaN,NaN
325,,100,20,NaN,62,NaN,63,,20,-4,20,NaN,NaN
326,,,,NaN,,NaN,,,,,,NaN,NaN
327,,100,20,NaN,62,NaN,62,,20,-4,20,NaN,NaN
328,,,,NaN,,NaN,,,,,,NaN,NaN
329,,100,20,NaN,62,NaN,62,,20,-4,20,NaN,NaN
330,,,,NaN,,NaN,,,,,,NaN,NaN
331,,100,20,NaN,62,NaN,62,,20,-4,20,NaN,NaN
332,,,,NaN,,NaN,,,,,,NaN,NaN
333,,100,20,NaN,62,NaN,62,,20,-4,20,NaN,NaN
334,,,,NaN,,NaN,,,,,,NaN,NaN
335,,100,20,NaN,62,NaN,62,,20,-4,20,NaN,NaN
336,,,,NaN,,NaN,,,,,,NaN,NaN
337,,100,20,NaN,61,NaN,62,,20,-4,20,NaN,NaN
338,,,,NaN,,NaN,,,,,,NaN,NaN
339,,100,20,NaN,61,NaN,62,,20,-3,20,NaN,NaN
340,,,,NaN,,NaN,,,,,,NaN,NaN
341,,100,20,NaN,61,NaN,62,,20,-3,20,NaN,NaN
342,,,,NaN,,NaN,,,,,,NaN,NaN
343,,100,20,NaN,61,NaN,61,,20,-3,20,NaN,NaN
344,,,,NaN,,NaN,,,,,,NaN,NaN
345,,100,20,NaN,61,NaN,61,,20,-3,20,NaN,NaN
346,,,,NaN,,NaN,,,,,,NaN,NaN
347,,100,20,NaN,61,NaN,61,,20,-3,20,NaN,NaN
348,,,,NaN,,NaN,,,,,,NaN,NaN
349,,100,20,NaN,60,NaN,61,,20,-3,18,NaN,NaN
350,,,,NaN,,NaN,,,,,,NaN,NaN
351,,100,20,NaN,61,NaN,61,,20,-3,18,NaN,NaN
352,,,,NaN,,NaN,,,,,,NaN,NaN
353,,100,20,NaN,60,NaN,61,,20,-3,20,NaN,NaN
354,,,,NaN,,NaN,,,,,,NaN,NaN
355,,100,20,NaN,60,NaN,61,,20,-3,20,NaN,NaN
356,,,,NaN,,NaN,,,,,,NaN,NaN
357,,100,20,NaN,61,NaN,61,,20,-3,20,NaN,NaN
358,,,,NaN,,NaN,,,,,,NaN,NaN
359,,,23,NaN,61,NaN,,,20,-3,16,NaN,NaN
360,,,,NaN,,NaN,,,,,,NaN,NaN
361,,,23,NaN,61,NaN,,,19,-3,14,NaN,NaN
362,,,,NaN,,NaN,,,,,,NaN,NaN
363,,,24,NaN,61,NaN,,,20,-3,16,NaN,NaN
364,,,,NaN,,NaN,,,,,,NaN,NaN
365,,,23,NaN,61,NaN,,,19,-3,16,NaN,NaN
366,,,,NaN,,NaN,,,,,,NaN,NaN
367,,,21,NaN,61,NaN,,,19,-3,17,NaN,NaN
368,,,,NaN,,NaN,,,,,,NaN,NaN
369,,100,21,NaN,60,NaN,62,,19,-2,18,NaN,NaN
370,,,,NaN,,NaN,,,,,,NaN,NaN
371,,100,21,NaN,60,NaN,62,,19,-2,18,NaN,NaN
372,,,,NaN,,NaN,,,,,,NaN,NaN
373,,100,20,NaN,60,NaN,62,,20,-2,20,NaN,NaN
374,,,,NaN,,NaN,,,,,,NaN,NaN
375,,100,19,NaN,61,NaN,62,,20,-2,18,NaN,NaN
376,,,,NaN,,NaN,,,,,,NaN,NaN
377,,100,19,NaN,62,NaN,62,,20,-2,18,NaN,NaN
378,,,,NaN,,NaN,,,,,,NaN,NaN
379,,100,19,NaN,63,NaN,63,,19,-2,19,NaN,NaN
380,,,,NaN,,NaN,,,,,,NaN,NaN
381,,100,19,NaN,64,NaN,64,,19,-2,19,NaN,NaN
382,,,,NaN,,NaN,,,,,,NaN,NaN
383,27,100,33,NaN,64,NaN,65,,21,-2,12,NaN,NaN
384,,,,NaN,,NaN,,,,,,NaN,NaN
385,27,100,30,NaN,64,NaN,65,,18,-2,8,NaN,NaN
386,,,,NaN,,NaN,,,,,,NaN,NaN
387,27,100,50,NaN,64,NaN,65,,16,-2,-15,NaN,NaN
388,,,,NaN,,NaN,,,,,,NaN,NaN
389,0,100,45,NaN,64,NaN,65,,17,-2,-8,NaN,NaN
390,,,,NaN,,NaN,,,,,,NaN,NaN
391,0,100,,NaN,64,NaN,64,,15,-2,,NaN,NaN
392,,,,NaN,,NaN,,,,,,NaN,NaN
393,0,100,,NaN,63,NaN,64,,18,-2,,NaN,NaN
394,,,,NaN,,NaN,,,,,,NaN,NaN
395,0,100,,NaN,63,NaN,64,,26,-2,,NaN,NaN
396,,,,NaN,,NaN,,,,,,NaN,NaN
397,5,100,,NaN,63,NaN,63,,25,-2,,NaN,NaN
398,,,,NaN,,NaN,,,,,,NaN,NaN
399,5,100,,NaN,63,NaN,63,,25,-2,,NaN,NaN
400,,,,NaN,,NaN,,,,,,NaN,NaN
401,5,100,,NaN,63,NaN,63,,18,-2,,NaN,NaN
402,,,,NaN,,NaN,,,,,,NaN,NaN
403,34,100,,NaN,62,NaN,63,5,13,-1,,NaN,NaN
404,,,,NaN,,NaN,,,,,,NaN,NaN
405,34,100,17,NaN,63,NaN,63,5,12,-1,7,NaN,NaN
406,,,,NaN,,NaN,,,,,,NaN,NaN
407,34,100,26,NaN,64,NaN,64,5,12,-1,-4,NaN,NaN
408,,,,NaN,,NaN,,,,,,NaN,NaN
409,34,100,18,NaN,65,NaN,65,4,11,-1,4,NaN,NaN
410,,,,NaN,,NaN,,,,,,NaN,NaN
411,34,100,29,NaN,66,NaN,66,4,13,-1,-6,NaN,NaN
412,,,,NaN,,NaN,,,,,,NaN,NaN
413,34,100,19,NaN,66,NaN,66,4,12,-1,5,NaN,NaN
414,,,,NaN,,NaN,,,,,,NaN,NaN
415,34,100,16,NaN,66,NaN,66,4,13,-1,9,NaN,NaN
416,,,,NaN,,NaN,,,,,,NaN,NaN
417,34,100,15,NaN,66,NaN,66,4,12,-1,10,NaN,NaN
418,,,,NaN,,NaN,,,,,,NaN,NaN
419,34,100,14,NaN,67,NaN,66,4,12,-1,11,NaN,NaN
420,,,,NaN,,NaN,,,,,,NaN,NaN
421,34,100,14,NaN,67,NaN,66,4,12,-1,11,NaN,NaN
422,,,,NaN,,NaN,,,,,,NaN,NaN
423,34,100,12,NaN,68,NaN,66,9,12,-1,12,NaN,NaN
424,,,,NaN,,NaN,,,,,,NaN,NaN
425,34,100,20,NaN,68,NaN,66,9,12,1,6,NaN,NaN
426,,,,NaN,,NaN,,,,,,NaN,NaN
427,34,100,20,NaN,67,NaN,66,9,12,1,6,NaN,NaN
428,,,,NaN,,NaN,,,,,,NaN,NaN
429,33,100,12,NaN,67,NaN,66,11,12,1,12,NaN,NaN
430,,,,NaN,,NaN,,,,,,NaN,NaN
431,33,,12,NaN,66,NaN,,11,12,1,12,NaN,NaN
432,,,,NaN,,NaN,,,,,,NaN,NaN
433,33,100,12,NaN,65,NaN,67,11,11,1,10,NaN,NaN
434,,,,NaN,,NaN,,,,,,NaN,NaN
435,33,100,12,NaN,65,NaN,67,13,11,1,10,NaN,NaN
436,,,,NaN,,NaN,,,,,,NaN,NaN
437,33,100,12,NaN,65,NaN,67,13,11,1,10,NaN,NaN
438,,,,NaN,,NaN,,,,,,NaN,NaN
439,33,100,13,NaN,65,NaN,67,13,11,1,9,NaN,NaN
440,,,,NaN,,NaN,,,,,,NaN,NaN
