time,Solar8000/ART_MBP,SNUADC/ECG_V5,Solar8000/HR,SNUADC/ART,SNUADC/CVP,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2
55,,NaN,97,NaN,NaN,NaN,,,97,,,97,
56,,NaN,,NaN,NaN,NaN,,,,,,,
57,,NaN,97,NaN,NaN,NaN,,,97,,,98,
58,,NaN,,NaN,NaN,NaN,,,,,,,
59,,NaN,96,NaN,NaN,NaN,,,97,,,97,
60,,NaN,,NaN,NaN,NaN,,,,,,,
61,,NaN,97,NaN,NaN,NaN,,,97,,,97,
62,,NaN,,NaN,NaN,NaN,,,,,,,
63,,NaN,97,NaN,NaN,NaN,,,97,,,97,
64,,NaN,,NaN,NaN,NaN,,,,,,,
65,,NaN,97,NaN,NaN,NaN,,,97,,,97,
66,,NaN,,NaN,NaN,NaN,,,,,,,
67,,NaN,99,NaN,NaN,NaN,,,97,,,98,
68,,NaN,,NaN,NaN,NaN,,,,,,,
69,,NaN,99,NaN,NaN,NaN,,,97,,,98,
70,,NaN,,NaN,NaN,NaN,,,,,,,
71,,NaN,98,NaN,NaN,NaN,,,98,,,98,
72,,NaN,,NaN,NaN,NaN,,,,,,,
73,,NaN,97,NaN,NaN,NaN,,,97,,,98,
74,,NaN,,NaN,NaN,NaN,,,,,,,
75,,NaN,96,NaN,NaN,NaN,,,,,,,
76,,NaN,,NaN,NaN,NaN,,,,,,,
77,,NaN,97,NaN,NaN,NaN,,,,,,,
78,,NaN,,NaN,NaN,NaN,,,,,,,
79,,NaN,97,NaN,NaN,NaN,,,,,,,
80,,NaN,,NaN,NaN,NaN,,,,,,,
81,,NaN,98,NaN,NaN,NaN,,,,,,,
82,,NaN,,NaN,NaN,NaN,,,,,,,
83,,NaN,97,NaN,NaN,NaN,,,,,,,
84,,NaN,,NaN,NaN,NaN,,,,,,,
85,,NaN,97,NaN,NaN,NaN,,,,,,,
86,,NaN,,NaN,NaN,NaN,,,,,,,
87,,NaN,98,NaN,NaN,NaN,,,,,,,
88,,NaN,,NaN,NaN,NaN,,,,,,,
89,,NaN,98,NaN,NaN,NaN,,,98,,,98,
90,,NaN,,NaN,NaN,NaN,,,,,,,
91,,NaN,98,NaN,NaN,NaN,,,98,,,99,
92,,NaN,,NaN,NaN,NaN,,,,,,,
93,,NaN,99,NaN,NaN,NaN,,,98,,,99,
94,,NaN,,NaN,NaN,NaN,,,,,,,
95,,NaN,99,NaN,NaN,NaN,,,98,,,100,
96,,NaN,,NaN,NaN,NaN,,,,,,,
97,,NaN,99,NaN,NaN,NaN,,,98,,,99,
98,,NaN,,NaN,NaN,NaN,,,,,,,
99,,NaN,99,NaN,NaN,NaN,,,97,,,100,
100,,NaN,,NaN,NaN,NaN,,,,,,,
101,,NaN,99,NaN,NaN,NaN,,,97,,,100,
102,,NaN,,NaN,NaN,NaN,,,,,,,
103,,NaN,100,NaN,NaN,NaN,,,97,,,101,
104,,NaN,,NaN,NaN,NaN,,,,,,,
105,,NaN,100,NaN,NaN,NaN,,,97,,,101,
106,,NaN,,NaN,NaN,NaN,,,,,,,
107,,NaN,100,NaN,NaN,NaN,,,96,,,101,
108,,NaN,,NaN,NaN,NaN,,,,,,,
109,,NaN,101,NaN,NaN,NaN,,,95,,,101,
110,,NaN,,NaN,NaN,NaN,,,,,,,
111,,NaN,102,NaN,NaN,NaN,,,96,,,103,
112,,NaN,,NaN,NaN,NaN,,,,,,,
113,,NaN,103,NaN,NaN,NaN,,,96,,,103,
114,,NaN,,NaN,NaN,NaN,,,,,,,
115,,NaN,103,NaN,NaN,NaN,,,96,,,103,
116,,NaN,,NaN,NaN,NaN,,,,,,,
117,,NaN,103,NaN,NaN,NaN,,,96,,,103,
118,,NaN,,NaN,NaN,NaN,,,,,,,
119,,NaN,103,NaN,NaN,NaN,,,96,,,103,
120,,NaN,,NaN,NaN,NaN,,,,,,,
121,,NaN,102,NaN,NaN,NaN,,,96,,,103,
122,,NaN,,NaN,NaN,NaN,,,,,,,
123,,NaN,101,NaN,NaN,NaN,,,96,,,103,
124,,NaN,,NaN,NaN,NaN,,,,,,,
125,,NaN,100,NaN,NaN,NaN,,,96,,,103,
126,,NaN,,NaN,NaN,NaN,,,,,,,
127,,NaN,100,NaN,NaN,NaN,,,97,,,102,
128,,NaN,,NaN,NaN,NaN,,,,,,,
129,,NaN,99,NaN,NaN,NaN,,,97,,,101,
130,,NaN,,NaN,NaN,NaN,,,,,,,
131,,NaN,99,NaN,NaN,NaN,,,97,,,99,
132,,NaN,,NaN,NaN,NaN,,,,,,,
133,,NaN,98,NaN,NaN,NaN,,,96,,,100,
134,,NaN,,NaN,NaN,NaN,,,,,,,
135,,NaN,98,NaN,NaN,NaN,,,97,,,101,
136,,NaN,,NaN,NaN,NaN,,,,,,,
137,,NaN,99,NaN,NaN,NaN,,,97,,,101,
138,,NaN,,NaN,NaN,NaN,,,,,,,
139,,NaN,100,NaN,NaN,NaN,,,97,,,101,
140,,NaN,,NaN,NaN,NaN,,,,,,,
141,,NaN,100,NaN,NaN,NaN,,,97,,,100,
142,,NaN,,NaN,NaN,NaN,,,,,,,
143,,NaN,100,NaN,NaN,NaN,,,97,,,100,
144,,NaN,,NaN,NaN,NaN,,,,,,,
145,,NaN,100,NaN,NaN,NaN,,,98,,,100,
146,,NaN,,NaN,NaN,NaN,,,,,,,
147,,NaN,99,NaN,NaN,NaN,,,97,,,100,
148,,NaN,,NaN,NaN,NaN,,,,,,,
149,,NaN,100,NaN,NaN,NaN,,,97,,,100,
150,,NaN,,NaN,NaN,NaN,,,,,,,
151,,NaN,100,NaN,NaN,NaN,,,97,,,101,
152,,NaN,,NaN,NaN,NaN,,,,,,,
153,,NaN,101,NaN,NaN,NaN,,,97,,,101,
154,,NaN,,NaN,NaN,NaN,,,,,,,
155,,NaN,101,NaN,NaN,NaN,,,97,,,102,
156,,NaN,,NaN,NaN,NaN,,,,,,,
157,,NaN,101,NaN,NaN,NaN,,,97,,,101,
158,,NaN,,NaN,NaN,NaN,,,,,,,
159,,NaN,100,NaN,NaN,NaN,,,97,,,101,
160,,NaN,,NaN,NaN,NaN,,,,,,,
161,,NaN,99,NaN,NaN,NaN,,,97,,,100,
162,,NaN,,NaN,NaN,NaN,,,,,,,
163,,NaN,100,NaN,NaN,NaN,,,97,,,100,
164,,NaN,,NaN,NaN,NaN,,,,,,,
165,,NaN,100,NaN,NaN,NaN,,,97,,,100,
166,,NaN,,NaN,NaN,NaN,,,,,,,
167,,NaN,99,NaN,NaN,NaN,,,97,,,100,
168,,NaN,,NaN,NaN,NaN,,,,,,,
169,,NaN,99,NaN,NaN,NaN,,,97,,,99,
170,,NaN,,NaN,NaN,NaN,,,,,,,
171,,NaN,99,NaN,NaN,NaN,,,97,,,99,
172,,NaN,,NaN,NaN,NaN,,,,,,,
173,,NaN,98,NaN,NaN,NaN,,,98,,,99,
174,,NaN,,NaN,NaN,NaN,,,,,,,
175,,NaN,98,NaN,NaN,NaN,,,98,,,99,
176,,NaN,,NaN,NaN,NaN,,,,,,,
177,,NaN,98,NaN,NaN,NaN,,,98,,,99,
178,,NaN,,NaN,NaN,NaN,,,,,,,
179,,NaN,99,NaN,NaN,NaN,,,98,,,99,
180,,NaN,,NaN,NaN,NaN,,,,,,,
181,,NaN,100,NaN,NaN,NaN,,,98,,,100,
182,,NaN,,NaN,NaN,NaN,,,,,,,
183,,NaN,101,NaN,NaN,NaN,,,98,,,101,
184,,NaN,,NaN,NaN,NaN,,,,,,,
185,,NaN,101,NaN,NaN,NaN,,,97,,,101,
186,,NaN,,NaN,NaN,NaN,,,,,,,
187,,NaN,100,NaN,NaN,NaN,,,97,,,100,
188,,NaN,,NaN,NaN,NaN,,,,,,,
189,,NaN,100,NaN,NaN,NaN,,,97,,,100,
190,,NaN,,NaN,NaN,NaN,,,,,,,
191,,NaN,100,NaN,NaN,NaN,,,97,,,100,
192,,NaN,,NaN,NaN,NaN,,,,,,,
193,,NaN,100,NaN,NaN,NaN,,,97,,,100,
194,,NaN,,NaN,NaN,NaN,,,,,,,
195,,NaN,100,NaN,NaN,NaN,,,97,,,100,
196,,NaN,,NaN,NaN,NaN,,,,,,,
197,,NaN,100,NaN,NaN,NaN,,,97,,,100,
198,,NaN,,NaN,NaN,NaN,,,,,,,
199,,NaN,100,NaN,NaN,NaN,,,97,,,101,
200,,NaN,,NaN,NaN,NaN,,,,,,,
201,,NaN,100,NaN,NaN,NaN,,,97,,,101,
202,,NaN,,NaN,NaN,NaN,,,,,,,
203,,NaN,101,NaN,NaN,NaN,,,97,,,101,
204,,NaN,,NaN,NaN,NaN,,,,,,,
205,,NaN,101,NaN,NaN,NaN,,,97,,,101,
206,,NaN,,NaN,NaN,NaN,,,,,,,
207,,NaN,100,NaN,NaN,NaN,,,97,,,101,
208,,NaN,,NaN,NaN,NaN,,,,,,,
209,,NaN,100,NaN,NaN,NaN,,,97,,,101,
210,,NaN,,NaN,NaN,NaN,,,,,,,
211,,NaN,100,NaN,NaN,NaN,,,97,,,101,
212,,NaN,,NaN,NaN,NaN,,,,,,,
213,,NaN,100,NaN,NaN,NaN,,,97,,,101,
214,,NaN,,NaN,NaN,NaN,,,,,,,
215,,NaN,101,NaN,NaN,NaN,,,97,,,101,
216,,NaN,,NaN,NaN,NaN,,,,,,,
217,,NaN,102,NaN,NaN,NaN,,,97,,,102,
218,,NaN,,NaN,NaN,NaN,,,,,,,
219,,NaN,102,NaN,NaN,NaN,,,97,,,103,
220,,NaN,,NaN,NaN,NaN,,,,,,,
221,,NaN,103,NaN,NaN,NaN,,,97,,,104,
222,,NaN,,NaN,NaN,NaN,,,,,,,
223,,NaN,104,NaN,NaN,NaN,,,97,,,105,
224,,NaN,,NaN,NaN,NaN,,,,,,,
225,,NaN,104,NaN,NaN,NaN,,,97,,,105,
226,,NaN,,NaN,NaN,NaN,,,,,,,
227,,NaN,104,NaN,NaN,NaN,,,97,,,104,
228,,NaN,,NaN,NaN,NaN,,,,,,,
229,,NaN,103,NaN,NaN,NaN,,,97,,,104,
230,,NaN,,NaN,NaN,NaN,,,,,,,
231,,NaN,102,NaN,NaN,NaN,,,97,,,102,
232,,NaN,,NaN,NaN,NaN,,,,,,,
233,,NaN,101,NaN,NaN,NaN,,,97,,,101,
234,,NaN,,NaN,NaN,NaN,,,,,,,
235,,NaN,101,NaN,NaN,NaN,,,97,,,101,
236,,NaN,,NaN,NaN,NaN,,,,,,,
237,,NaN,101,NaN,NaN,NaN,,,97,,,101,
238,,NaN,,NaN,NaN,NaN,,,,,,,
239,,NaN,100,NaN,NaN,NaN,,,97,,,101,
240,,NaN,,NaN,NaN,NaN,,,,,,,
241,,NaN,100,NaN,NaN,NaN,,,97,,,101,
242,,NaN,,NaN,NaN,NaN,,,,,,,
243,,NaN,100,NaN,NaN,NaN,,,97,,,100,
244,,NaN,,NaN,NaN,NaN,,,,,,,
245,,NaN,100,NaN,NaN,NaN,,,97,,,100,
246,,NaN,,NaN,NaN,NaN,,,,,,,
247,,NaN,100,NaN,NaN,NaN,,,97,,,100,
248,,NaN,,NaN,NaN,NaN,,,,,,,
249,,NaN,100,NaN,NaN,NaN,,,97,,,100,
250,,NaN,,NaN,NaN,NaN,,,,,,,
251,,NaN,100,NaN,NaN,NaN,,,97,,,101,
252,,NaN,,NaN,NaN,NaN,,,,,,,
253,,NaN,101,NaN,NaN,NaN,,,97,,,101,
254,,NaN,,NaN,NaN,NaN,,,,,,,
255,,NaN,101,NaN,NaN,NaN,,,97,,,101,
256,,NaN,,NaN,NaN,NaN,,,,,,,
257,,NaN,101,NaN,NaN,NaN,,,97,,,101,
258,,NaN,,NaN,NaN,NaN,,,,,,,
259,,NaN,101,NaN,NaN,NaN,,,97,,,101,
260,,NaN,,NaN,NaN,NaN,,,,,,,
261,,NaN,100,NaN,NaN,NaN,,,96,,,101,
262,,NaN,,NaN,NaN,NaN,,,,,,,
263,,NaN,100,NaN,NaN,NaN,,,96,,,101,
264,,NaN,,NaN,NaN,NaN,,,,,,,
265,,NaN,101,NaN,NaN,NaN,,,96,,,101,
266,,NaN,,NaN,NaN,NaN,,,,,,,
267,,NaN,101,NaN,NaN,NaN,,,96,,,101,
268,,NaN,,NaN,NaN,NaN,,,,,,,
269,,NaN,101,NaN,NaN,NaN,,,96,,,102,
270,,NaN,,NaN,NaN,NaN,,,,,,,
271,,NaN,101,NaN,NaN,NaN,,,96,,,101,
272,,NaN,,NaN,NaN,NaN,,,,,,,
273,,NaN,101,NaN,NaN,NaN,,,96,,,101,
274,,NaN,,NaN,NaN,NaN,,,,,,,
275,,NaN,100,NaN,NaN,NaN,,,96,,,101,
276,,NaN,,NaN,NaN,NaN,,,,,,,
277,,NaN,100,NaN,NaN,NaN,,,97,,,101,
278,,NaN,,NaN,NaN,NaN,,,,,,,
279,,NaN,100,NaN,NaN,NaN,,,97,,,101,
280,,NaN,,NaN,NaN,NaN,,,,,,,
281,,NaN,100,NaN,NaN,NaN,,,97,,,101,
282,,NaN,,NaN,NaN,NaN,,,,,,,
283,,NaN,100,NaN,NaN,NaN,,,97,,,101,
284,,NaN,,NaN,NaN,NaN,,,,,,,
285,,NaN,101,NaN,NaN,NaN,,,97,,,101,
286,,NaN,,NaN,NaN,NaN,,,,,,,
287,,NaN,101,NaN,NaN,NaN,,,97,,,101,
288,,NaN,,NaN,NaN,NaN,,,,,,,
289,,NaN,100,NaN,NaN,NaN,,,97,,,101,
290,,NaN,,NaN,NaN,NaN,,,,,,,
291,,NaN,100,NaN,NaN,NaN,,,97,,,101,
292,,NaN,,NaN,NaN,NaN,,,,,,,
293,,NaN,100,NaN,NaN,NaN,,,97,,,101,
294,,NaN,,NaN,NaN,NaN,,,,,,,
295,,NaN,100,NaN,NaN,NaN,,,97,,,101,
296,,NaN,,NaN,NaN,NaN,,,,,,,
297,,NaN,100,NaN,NaN,NaN,,,97,,,100,
298,,NaN,,NaN,NaN,NaN,,,,,,,
299,,NaN,100,NaN,NaN,NaN,,,97,,,100,
300,,NaN,,NaN,NaN,NaN,,,,,,,
301,,NaN,100,NaN,NaN,NaN,,,97,,,100,
302,,NaN,,NaN,NaN,NaN,,,,,,,
303,,NaN,100,NaN,NaN,NaN,,,97,,,101,
304,,NaN,,NaN,NaN,NaN,,,,,,,
305,,NaN,101,NaN,NaN,NaN,,,97,,,101,
306,,NaN,,NaN,NaN,NaN,,,,,,,
307,,NaN,101,NaN,NaN,NaN,,,97,,,102,
308,,NaN,,NaN,NaN,NaN,,,,,,,
309,,NaN,102,NaN,NaN,NaN,,,97,,,103,
310,,NaN,,NaN,NaN,NaN,,,,,,,
311,,NaN,102,NaN,NaN,NaN,,,97,,,103,
312,,NaN,,NaN,NaN,NaN,,,,,,,
313,,NaN,102,NaN,NaN,NaN,,,97,,,103,
314,,NaN,,NaN,NaN,NaN,,,,,,,
315,,NaN,102,NaN,NaN,NaN,,,97,,,102,
316,,NaN,,NaN,NaN,NaN,,,,,,,
317,,NaN,101,NaN,NaN,NaN,,,97,,,102,
318,,NaN,,NaN,NaN,NaN,,,,,,,
319,,NaN,101,NaN,NaN,NaN,,,97,,,101,
320,,NaN,,NaN,NaN,NaN,,,,,,,
321,,NaN,100,NaN,NaN,NaN,,,97,,,101,
322,,NaN,,NaN,NaN,NaN,,,,,,,
323,,NaN,100,NaN,NaN,NaN,,,97,,,101,
324,,NaN,,NaN,NaN,NaN,,,,,,,
325,,NaN,101,NaN,NaN,NaN,,,97,,,101,
326,,NaN,,NaN,NaN,NaN,,,,,,,
327,,NaN,101,NaN,NaN,NaN,,,97,,,101,
328,,NaN,,NaN,NaN,NaN,,,,,,,
329,,NaN,101,NaN,NaN,NaN,,,97,,,101,
330,,NaN,,NaN,NaN,NaN,,,,,,,
331,,NaN,101,NaN,NaN,NaN,,,97,,,101,
332,,NaN,,NaN,NaN,NaN,,,,,,,
333,,NaN,101,NaN,NaN,NaN,,,97,,,102,
334,,NaN,,NaN,NaN,NaN,,,,,,,
335,,NaN,101,NaN,NaN,NaN,,,97,,,102,
336,,NaN,,NaN,NaN,NaN,,,,,,,
337,,NaN,101,NaN,NaN,NaN,,,97,,,102,
338,,NaN,,NaN,NaN,NaN,,,,,,,
339,,NaN,101,NaN,NaN,NaN,,,97,,,101,
340,,NaN,,NaN,NaN,NaN,,,,,,,
341,,NaN,100,NaN,NaN,NaN,,,97,,,100,
342,,NaN,,NaN,NaN,NaN,,,,,,,
343,,NaN,99,NaN,NaN,NaN,,,97,,,100,
344,,NaN,,NaN,NaN,NaN,,,,,,,
345,,NaN,99,NaN,NaN,NaN,,,97,,,100,
346,,NaN,,NaN,NaN,NaN,,,,,,,
347,,NaN,99,NaN,NaN,NaN,,,97,,,100,
348,,NaN,,NaN,NaN,NaN,,,,,,,
349,,NaN,100,NaN,NaN,NaN,,,97,,,100,
350,,NaN,,NaN,NaN,NaN,,,,,,,
351,,NaN,100,NaN,NaN,NaN,,,97,,,100,
352,,NaN,,NaN,NaN,NaN,,,,,,,
353,,NaN,100,NaN,NaN,NaN,,,97,,,100,
354,,NaN,,NaN,NaN,NaN,,,,,,,
355,,NaN,100,NaN,NaN,NaN,,,96,,,100,
356,,NaN,,NaN,NaN,NaN,,,,,,,
357,,NaN,99,NaN,NaN,NaN,,,96,,,100,
358,,NaN,,NaN,NaN,NaN,,,,,,,
359,0,NaN,99,NaN,NaN,NaN,0,,96,0,0,100,
360,,NaN,,NaN,NaN,NaN,,,,,,,
361,0,NaN,99,NaN,NaN,NaN,0,,96,0,0,100,1
362,,NaN,,NaN,NaN,NaN,,,,,,,
363,0,NaN,100,NaN,NaN,NaN,-15,,96,-2,5,100,1
364,,NaN,,NaN,NaN,NaN,,,,,,,
365,0,NaN,100,NaN,NaN,NaN,-15,,96,-2,5,100,1
366,,NaN,,NaN,NaN,NaN,,,,,,,
367,-5,NaN,100,NaN,NaN,NaN,-5,,96,-6,-5,101,1
368,,NaN,,NaN,NaN,NaN,,,,,,,
369,-5,NaN,101,NaN,NaN,NaN,-5,,96,-6,-5,101,1
370,,NaN,,NaN,NaN,NaN,,,,,,,
371,-5,NaN,101,NaN,NaN,NaN,-5,,96,-6,-5,102,1
372,,NaN,,NaN,NaN,NaN,,,,,,,
373,-5,NaN,102,NaN,NaN,NaN,-5,,96,-6,-5,103,1
374,,NaN,,NaN,NaN,NaN,,,,,,,
375,-5,NaN,102,NaN,NaN,NaN,-5,,96,-6,-5,103,1
376,,NaN,,NaN,NaN,NaN,,,,,,,
377,-5,NaN,101,NaN,NaN,NaN,-5,,96,-6,-5,102,1
378,,NaN,,NaN,NaN,NaN,,,,,,,
379,-5,NaN,102,NaN,NaN,NaN,-5,,96,-6,-5,102,1
380,,NaN,,NaN,NaN,NaN,,,,,,,
381,-5,NaN,102,NaN,NaN,NaN,-5,,97,-6,-5,102,1
382,,NaN,,NaN,NaN,NaN,,,,,,,
383,-5,NaN,101,NaN,NaN,NaN,-5,,97,-6,-5,102,
384,,NaN,,NaN,NaN,NaN,,,,,,,
385,-5,NaN,101,NaN,NaN,NaN,-5,,97,-6,-5,102,
386,,NaN,,NaN,NaN,NaN,,,,,,,
387,-5,NaN,101,NaN,NaN,NaN,-5,,97,-6,-5,101,
388,,NaN,,NaN,NaN,NaN,,,,,,,
389,-5,NaN,101,NaN,NaN,NaN,-5,,97,-6,-5,102,0
390,,NaN,,NaN,NaN,NaN,,,,,,,
391,-5,NaN,101,NaN,NaN,NaN,-5,,97,-6,-5,102,0
392,,NaN,,NaN,NaN,NaN,,,,,,,
393,-5,NaN,102,NaN,NaN,NaN,-5,,97,-5,-5,102,0
394,,NaN,,NaN,NaN,NaN,,,,,,,
395,-5,NaN,102,NaN,NaN,NaN,-5,,97,-5,-5,102,0
396,,NaN,,NaN,NaN,NaN,,,,,,,
397,-5,NaN,102,NaN,NaN,NaN,-5,,97,-5,-5,102,0
398,,NaN,,NaN,NaN,NaN,,,,,,,
399,-6,NaN,101,NaN,NaN,NaN,-6,,97,-5,-6,102,0
400,,NaN,,NaN,NaN,NaN,,,,,,,
401,-6,NaN,101,NaN,NaN,NaN,-6,,97,-5,-6,102,0
402,,NaN,,NaN,NaN,NaN,,,,,,,
403,-6,NaN,102,NaN,NaN,NaN,-6,,97,-5,-6,102,0
404,,NaN,,NaN,NaN,NaN,,,,,,,
405,-6,NaN,102,NaN,NaN,NaN,-6,,97,-5,-6,102,0
406,,NaN,,NaN,NaN,NaN,,,,,,,
407,-6,NaN,101,NaN,NaN,NaN,-6,,97,-5,-6,102,0
408,,NaN,,NaN,NaN,NaN,,,,,,,
409,-6,NaN,101,NaN,NaN,NaN,-6,,97,-5,-6,102,0
410,,NaN,,NaN,NaN,NaN,,,,,,,
411,-6,NaN,101,NaN,NaN,NaN,-6,,97,-5,-6,101,0
412,,NaN,,NaN,NaN,NaN,,,,,,,
413,-6,NaN,101,NaN,NaN,NaN,-6,,97,-5,-6,101,0
414,,NaN,,NaN,NaN,NaN,,,,,,,
415,-6,NaN,101,NaN,NaN,NaN,-6,,97,-5,-6,101,0
416,,NaN,,NaN,NaN,NaN,,,,,,,
417,-6,NaN,100,NaN,NaN,NaN,-6,,97,-5,-6,101,0
418,,NaN,,NaN,NaN,NaN,,,,,,,
419,-6,NaN,101,NaN,NaN,NaN,-6,,97,-5,-6,101,0
420,,NaN,,NaN,NaN,NaN,,,,,,,
421,-6,NaN,101,NaN,NaN,NaN,-6,,97,-5,-6,102,0
422,,NaN,,NaN,NaN,NaN,,,,,,,
423,-6,NaN,103,NaN,NaN,NaN,-6,,97,-4,-6,103,0
424,,NaN,,NaN,NaN,NaN,,,,,,,
425,-6,NaN,102,NaN,NaN,NaN,-6,,98,-4,-6,103,0
426,,NaN,,NaN,NaN,NaN,,,,,,,
427,-6,NaN,102,NaN,NaN,NaN,-6,,98,-4,-6,103,0
428,,NaN,,NaN,NaN,NaN,,,,,,,
429,-6,NaN,102,NaN,NaN,NaN,-6,,99,-4,-6,102,0
430,,NaN,,NaN,NaN,NaN,,,,,,,
431,-6,NaN,102,NaN,NaN,NaN,-6,,99,-4,-6,103,0
432,,NaN,,NaN,NaN,NaN,,,,,,,
433,-6,NaN,101,NaN,NaN,NaN,-6,,99,-4,-6,102,0
434,,NaN,,NaN,NaN,NaN,,,,,,,
435,-6,NaN,101,NaN,NaN,NaN,-6,,99,-4,-6,102,0
436,,NaN,,NaN,NaN,NaN,,,,,,,
437,-6,NaN,102,NaN,NaN,NaN,-6,,99,-4,-6,102,0
438,,NaN,,NaN,NaN,NaN,,,,,,,
439,-6,NaN,101,NaN,NaN,NaN,-6,,100,-4,-6,102,0
440,,NaN,,NaN,NaN,NaN,,,,,,,
441,-6,NaN,100,NaN,NaN,NaN,-6,,100,-4,-6,101,0
442,,NaN,,NaN,NaN,NaN,,,,,,,
443,-6,NaN,99,NaN,NaN,NaN,-6,,100,-4,-6,100,0
444,,NaN,,NaN,NaN,NaN,,,,,,,
445,-6,NaN,101,NaN,NaN,NaN,-6,,100,-4,-6,101,0
446,,NaN,,NaN,NaN,NaN,,,,,,,
447,-6,NaN,101,NaN,NaN,NaN,-6,,100,-4,-6,102,0
448,,NaN,,NaN,NaN,NaN,,,,,,,
449,-6,NaN,101,NaN,NaN,NaN,-6,,100,-4,-6,102,0
450,,NaN,,NaN,NaN,NaN,,,,,,,
451,-6,NaN,101,NaN,NaN,NaN,-6,,100,-4,-6,102,0
452,,NaN,,NaN,NaN,NaN,,,,,,,
453,-6,NaN,102,NaN,NaN,NaN,-6,,100,-4,-6,102,0
454,,NaN,,NaN,NaN,NaN,,,,,,,
455,-6,NaN,102,NaN,NaN,NaN,-6,,100,-4,-6,103,0
456,,NaN,,NaN,NaN,NaN,,,,,,,
457,-6,NaN,102,NaN,NaN,NaN,-6,,100,-4,-6,103,0
458,,NaN,,NaN,NaN,NaN,,,,,,,
459,-6,NaN,103,NaN,NaN,NaN,-6,,100,-4,-6,103,0
460,,NaN,,NaN,NaN,NaN,,,,,,,
461,-6,NaN,102,NaN,NaN,NaN,-6,,100,-4,-6,103,0
462,,NaN,,NaN,NaN,NaN,,,,,,,
