time,Solar8000/ART_MBP,Solar8000/HR,Solar8000/PLETH_HR,Solar8000/ART_DBP,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,SNUADC/CVP,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/ART_SBP,SNUADC/ART,Solar8000/CVP,SNUADC/ECG_V5
168,,,,,,,NaN,NaN,,,NaN,,NaN
169,-13,119,120,-13,100,,NaN,NaN,,-13,NaN,-14,NaN
170,,,,,,,NaN,NaN,,,NaN,,NaN
171,-13,119,120,-13,100,,NaN,NaN,,-13,NaN,-14,NaN
172,,,,,,,NaN,NaN,,,NaN,,NaN
173,-12,120,120,-12,100,,NaN,NaN,,-12,NaN,-14,NaN
174,,,,,,,NaN,NaN,,,NaN,,NaN
175,-12,120,120,-12,100,,NaN,NaN,,-12,NaN,-14,NaN
176,,,,,,,NaN,NaN,,,NaN,,NaN
177,-11,120,120,-54,100,,NaN,NaN,,48,NaN,-14,NaN
178,,,,,,,NaN,NaN,,,NaN,,NaN
179,-5,120,121,-71,100,,NaN,NaN,,54,NaN,-14,NaN
180,,,,,,,NaN,NaN,,,NaN,,NaN
181,4,120,121,-36,100,,NaN,NaN,,47,NaN,-13,NaN
182,,,,,,,NaN,NaN,,,NaN,,NaN
183,3,120,121,,100,,NaN,NaN,,197,NaN,-13,NaN
184,,,,,,,NaN,NaN,,,NaN,,NaN
185,5,120,121,,100,,NaN,NaN,,258,NaN,-13,NaN
186,,,,,,,NaN,NaN,,,NaN,,NaN
187,5,120,121,-45,100,,NaN,NaN,,44,NaN,-13,NaN
188,,,,,,,NaN,NaN,,,NaN,,NaN
189,8,120,121,-83,100,,NaN,NaN,,100,NaN,-14,NaN
190,,,,,,,NaN,NaN,,,NaN,,NaN
191,8,121,121,-49,100,,NaN,NaN,,88,NaN,-14,NaN
192,,,,,,,NaN,NaN,,,NaN,,NaN
193,7,121,121,-33,100,,NaN,NaN,,56,NaN,-14,NaN
194,,,,,,,NaN,NaN,,,NaN,,NaN
195,7,121,121,,100,,NaN,NaN,,,NaN,-14,NaN
196,,,,,,,NaN,NaN,,,NaN,,NaN
197,77,121,121,,100,,NaN,NaN,,,NaN,-14,NaN
198,,,,,,,NaN,NaN,,,NaN,,NaN
199,74,120,121,,100,,NaN,NaN,,,NaN,-14,NaN
200,,,,,,,NaN,NaN,,,NaN,,NaN
201,73,120,121,,100,,NaN,NaN,,,NaN,-14,NaN
202,,,,,,,NaN,NaN,,,NaN,,NaN
203,73,120,120,,100,,NaN,NaN,,,NaN,-14,NaN
204,,,,,,,NaN,NaN,,,NaN,,NaN
205,74,120,120,59,100,,NaN,NaN,,102,NaN,-14,NaN
206,,,,,,,NaN,NaN,,,NaN,,NaN
207,74,120,120,57,100,,NaN,NaN,,100,NaN,-14,NaN
208,,,,,,,NaN,NaN,,,NaN,,NaN
209,75,120,120,57,100,,NaN,NaN,,102,NaN,-14,NaN
210,,,,,,,NaN,NaN,,,NaN,,NaN
211,76,120,120,60,100,,NaN,NaN,,104,NaN,-14,NaN
212,,,,,,,NaN,NaN,,,NaN,,NaN
213,77,120,120,63,100,,NaN,NaN,,107,NaN,-14,NaN
214,,,,,,,NaN,NaN,,,NaN,,NaN
215,78,120,120,62,100,,NaN,NaN,,107,NaN,-14,NaN
216,,,,,,,NaN,NaN,,,NaN,,NaN
217,78,119,120,61,100,,NaN,NaN,,104,NaN,-14,NaN
218,,,,,,,NaN,NaN,,,NaN,,NaN
219,79,119,120,59,100,,NaN,NaN,,110,NaN,-14,NaN
220,,,,,,,NaN,NaN,,,NaN,,NaN
221,81,119,120,57,100,,NaN,NaN,,111,NaN,-14,NaN
222,,,,,,,NaN,NaN,,,NaN,,NaN
223,81,119,120,63,100,,NaN,NaN,,113,NaN,-14,NaN
224,,,,,,,NaN,NaN,,,NaN,,NaN
225,82,119,120,63,100,,NaN,NaN,,113,NaN,-14,NaN
226,,,,,,,NaN,NaN,,,NaN,,NaN
227,82,119,120,59,100,,NaN,NaN,,115,NaN,-14,NaN
228,,,,,,,NaN,NaN,,,NaN,,NaN
229,82,119,120,65,100,,NaN,NaN,,118,NaN,-14,NaN
230,,,,,,,NaN,NaN,,,NaN,,NaN
231,81,119,120,64,100,,NaN,NaN,,116,NaN,-14,NaN
232,,,,,,,NaN,NaN,,,NaN,,NaN
233,80,119,120,61,100,,NaN,NaN,,114,NaN,-14,NaN
234,,,,,,,NaN,NaN,,,NaN,,NaN
235,82,119,120,65,100,,NaN,NaN,,118,NaN,-14,NaN
236,,,,,,,NaN,NaN,,,NaN,,NaN
237,81,119,120,64,100,,NaN,NaN,,113,NaN,-14,NaN
238,,,,,,,NaN,NaN,,,NaN,,NaN
239,80,119,120,63,100,,NaN,NaN,,112,NaN,-14,NaN
240,,,,,,,NaN,NaN,,,NaN,,NaN
241,79,119,120,63,100,,NaN,NaN,,111,NaN,-15,NaN
242,,,,,,,NaN,NaN,,,NaN,,NaN
243,76,120,120,60,100,,NaN,NaN,,108,NaN,-15,NaN
244,,,,,,,NaN,NaN,,,NaN,,NaN
245,74,120,120,59,100,,NaN,NaN,,106,NaN,-13,NaN
246,,,,,,,NaN,NaN,,,NaN,,NaN
247,75,119,120,60,100,,NaN,NaN,,107,NaN,-13,NaN
248,,,,,,,NaN,NaN,,,NaN,,NaN
249,76,119,120,61,100,,NaN,NaN,,108,NaN,-14,NaN
250,,,,,,,NaN,NaN,,,NaN,,NaN
251,76,120,120,61,100,,NaN,NaN,,110,NaN,-14,NaN
252,,,,,,,NaN,NaN,,,NaN,,NaN
253,76,120,121,61,100,,NaN,NaN,8,109,NaN,-14,NaN
254,,,,,,,NaN,NaN,,,NaN,,NaN
255,76,121,121,61,100,,NaN,NaN,8,109,NaN,-14,NaN
256,,,,,,,NaN,NaN,,,NaN,,NaN
257,77,121,122,61,100,,NaN,NaN,8,108,NaN,-14,NaN
258,,,,,,,NaN,NaN,,,NaN,,NaN
259,76,122,122,61,100,,NaN,NaN,8,109,NaN,-14,NaN
260,,,,,,,NaN,NaN,,,NaN,,NaN
261,77,123,123,62,100,,NaN,NaN,8,111,NaN,-14,NaN
262,,,,,,,NaN,NaN,,,NaN,,NaN
263,77,123,124,62,100,,NaN,NaN,8,111,NaN,-14,NaN
264,,,,,,,NaN,NaN,,,NaN,,NaN
265,78,124,125,63,100,,NaN,NaN,8,112,NaN,-14,NaN
266,,,,,,,NaN,NaN,,,NaN,,NaN
267,76,124,125,61,100,,NaN,NaN,8,108,NaN,-14,NaN
268,,,,,,,NaN,NaN,,,NaN,,NaN
269,76,124,125,62,100,,NaN,NaN,8,109,NaN,-14,NaN
270,,,,,,,NaN,NaN,,,NaN,,NaN
271,76,124,125,62,100,,NaN,NaN,0,107,NaN,-14,NaN
272,,,,,,,NaN,NaN,,,NaN,,NaN
273,77,124,125,64,100,,NaN,NaN,0,110,NaN,-14,NaN
274,,,,,,,NaN,NaN,,,NaN,,NaN
275,79,125,126,65,100,,NaN,NaN,0,113,NaN,-15,NaN
276,,,,,,,NaN,NaN,,,NaN,,NaN
277,80,126,127,67,100,1,NaN,NaN,33,115,NaN,-15,NaN
278,,,,,,,NaN,NaN,,,NaN,,NaN
279,87,126,127,,100,1,NaN,NaN,33,,NaN,-15,NaN
280,,,,,,,NaN,NaN,,,NaN,,NaN
281,87,127,128,,100,1,NaN,NaN,33,,NaN,-15,NaN
282,,,,,,,NaN,NaN,,,NaN,,NaN
283,113,127,128,,100,1,NaN,NaN,33,,NaN,-14,NaN
284,,,,,,,NaN,NaN,,,NaN,,NaN
285,116,128,129,,100,1,NaN,NaN,45,,NaN,-14,NaN
286,,,,,,,NaN,NaN,,,NaN,,NaN
287,118,129,129,,100,1,NaN,NaN,45,,NaN,-14,NaN
288,,,,,,,NaN,NaN,,,NaN,,NaN
289,118,129,130,,100,1,NaN,NaN,45,,NaN,-14,NaN
290,,,,,,,NaN,NaN,,,NaN,,NaN
291,82,130,130,,100,0,NaN,NaN,44,,NaN,-4,NaN
292,,,,,,,NaN,NaN,,,NaN,,NaN
293,79,130,131,,100,0,NaN,NaN,44,,NaN,-4,NaN
294,,,,,,,NaN,NaN,,,NaN,,NaN
295,79,130,131,,100,0,NaN,NaN,44,,NaN,-4,NaN
296,,,,,,,NaN,NaN,,,NaN,,NaN
297,77,130,131,,100,8,NaN,NaN,46,,NaN,8,NaN
298,,,,,,,NaN,NaN,,,NaN,,NaN
299,77,131,131,61,100,8,NaN,NaN,46,118,NaN,8,NaN
300,,,,,,,NaN,NaN,,,NaN,,NaN
301,78,131,131,58,100,8,NaN,NaN,46,118,NaN,18,NaN
302,,,,,,,NaN,NaN,,,NaN,,NaN
303,76,131,131,59,100,10,NaN,NaN,45,118,NaN,18,NaN
304,,,,,,,NaN,NaN,,,NaN,,NaN
305,78,131,131,59,100,10,NaN,NaN,45,118,NaN,16,NaN
306,,,,,,,NaN,NaN,,,NaN,,NaN
307,77,131,132,54,100,10,NaN,NaN,45,118,NaN,16,NaN
308,,,,,,,NaN,NaN,,,NaN,,NaN
309,77,131,132,,100,12,NaN,NaN,44,,NaN,6,NaN
310,,,,,,,NaN,NaN,,,NaN,,NaN
311,164,131,132,,100,12,NaN,NaN,44,,NaN,6,NaN
312,,,,,,,NaN,NaN,,,NaN,,NaN
313,164,131,132,,100,12,NaN,NaN,44,,NaN,84,NaN
314,,,,,,,NaN,NaN,,,NaN,,NaN
315,206,131,131,,100,12,NaN,NaN,44,,NaN,84,NaN
316,,,,,,,NaN,NaN,,,NaN,,NaN
317,209,131,132,,100,13,NaN,NaN,44,,NaN,155,NaN
318,,,,,,,NaN,NaN,,,NaN,,NaN
319,209,131,132,,100,13,NaN,NaN,44,,NaN,155,NaN
320,,,,,,,NaN,NaN,,,NaN,,NaN
321,209,131,132,,100,13,NaN,NaN,44,,NaN,167,NaN
322,,,,,,,NaN,NaN,,,NaN,,NaN
323,173,131,132,,100,14,NaN,NaN,44,,NaN,167,NaN
324,,,,,,,NaN,NaN,,,NaN,,NaN
325,106,131,132,,100,14,NaN,NaN,44,,NaN,167,NaN
326,,,,,,,NaN,NaN,,,NaN,,NaN
327,93,131,132,,100,14,NaN,NaN,44,,NaN,181,NaN
328,,,,,,,NaN,NaN,,,NaN,,NaN
329,127,131,132,,100,14,NaN,NaN,44,,NaN,181,NaN
330,,,,,,,NaN,NaN,,,NaN,,NaN
331,90,131,131,,100,14,NaN,NaN,44,,NaN,193,NaN
332,,,,,,,NaN,NaN,,,NaN,,NaN
333,76,131,132,54,100,14,NaN,NaN,44,105,NaN,193,NaN
334,,,,,,,NaN,NaN,,,NaN,,NaN
335,74,131,131,53,100,14,NaN,NaN,43,114,NaN,205,NaN
336,,,,,,,NaN,NaN,,,NaN,,NaN
337,72,131,131,56,100,14,NaN,NaN,43,104,NaN,205,NaN
338,,,,,,,NaN,NaN,,,NaN,,NaN
339,73,131,132,55,100,14,NaN,NaN,43,106,NaN,219,NaN
340,,,,,,,NaN,NaN,,,NaN,,NaN
341,70,131,132,55,100,14,NaN,NaN,44,101,NaN,219,NaN
342,,,,,,,NaN,NaN,,,NaN,,NaN
343,72,130,131,57,100,14,NaN,NaN,44,103,NaN,232,NaN
344,,,,,,,NaN,NaN,,,NaN,,NaN
345,69,130,130,53,100,14,NaN,NaN,44,98,NaN,232,NaN
346,,,,,,,NaN,NaN,,,NaN,,NaN
347,71,118,131,56,100,14,NaN,NaN,44,103,NaN,251,NaN
348,,,,,,,NaN,NaN,,,NaN,,NaN
349,69,133,130,54,100,14,NaN,NaN,44,98,NaN,251,NaN
350,,,,,,,NaN,NaN,,,NaN,,NaN
351,72,129,131,58,100,14,NaN,NaN,44,101,NaN,104,NaN
352,,,,,,,NaN,NaN,,,NaN,,NaN
353,71,130,130,51,100,14,NaN,NaN,44,98,NaN,104,NaN
354,,,,,,,NaN,NaN,,,NaN,,NaN
355,73,130,130,58,100,14,NaN,NaN,43,102,NaN,87,NaN
356,,,,,,,NaN,NaN,,,NaN,,NaN
357,72,129,130,53,100,14,NaN,NaN,43,104,NaN,87,NaN
358,,,,,,,NaN,NaN,,,NaN,,NaN
359,74,129,130,57,100,14,NaN,NaN,43,105,NaN,87,NaN
360,,,,,,,NaN,NaN,,,NaN,,NaN
361,75,129,129,58,100,14,NaN,NaN,43,105,NaN,180,NaN
362,,,,,,,NaN,NaN,,,NaN,,NaN
363,73,127,129,57,100,14,NaN,NaN,43,104,NaN,180,NaN
364,,,,,,,NaN,NaN,,,NaN,,NaN
365,73,127,129,56,100,14,NaN,NaN,43,103,NaN,28,NaN
366,,,,,,,NaN,NaN,,,NaN,,NaN
367,71,127,127,56,100,14,NaN,NaN,43,101,NaN,28,NaN
368,,,,,,,NaN,NaN,,,NaN,,NaN
369,74,127,127,58,100,14,NaN,NaN,43,104,NaN,5,NaN
370,,,,,,,NaN,NaN,,,NaN,,NaN
371,72,127,126,56,100,14,NaN,NaN,43,100,NaN,5,NaN
372,,,,,,,NaN,NaN,,,NaN,,NaN
373,74,128,127,59,100,14,NaN,NaN,43,103,NaN,5,NaN
374,,,,,,,NaN,NaN,,,NaN,,NaN
375,72,128,127,56,100,14,NaN,NaN,43,100,NaN,5,NaN
376,,,,,,,NaN,NaN,,,NaN,,NaN
377,75,128,127,57,100,14,NaN,NaN,43,104,NaN,5,NaN
378,,,,,,,NaN,NaN,,,NaN,,NaN
379,75,127,126,60,100,14,NaN,NaN,42,102,NaN,5,NaN
380,,,,,,,NaN,NaN,,,NaN,,NaN
381,77,128,124,61,100,14,NaN,NaN,42,106,NaN,7,NaN
382,,,,,,,NaN,NaN,,,NaN,,NaN
383,74,126,123,50,100,14,NaN,NaN,42,102,NaN,7,NaN
384,,,,,,,NaN,NaN,,,NaN,,NaN
385,73,125,123,57,100,14,NaN,NaN,42,101,NaN,6,NaN
386,,,,,,,NaN,NaN,,,NaN,,NaN
387,71,126,124,55,100,14,NaN,NaN,42,97,NaN,6,NaN
388,,,,,,,NaN,NaN,,,NaN,,NaN
389,70,126,126,57,100,14,NaN,NaN,42,97,NaN,6,NaN
390,,,,,,,NaN,NaN,,,NaN,,NaN
391,70,126,127,55,100,14,NaN,NaN,42,96,NaN,6,NaN
392,,,,,,,NaN,NaN,,,NaN,,NaN
393,71,126,126,57,100,14,NaN,NaN,42,98,NaN,6,NaN
394,,,,,,,NaN,NaN,,,NaN,,NaN
395,73,126,126,57,100,14,NaN,NaN,42,98,NaN,6,NaN
396,,,,,,,NaN,NaN,,,NaN,,NaN
397,72,126,126,59,100,14,NaN,NaN,42,99,NaN,6,NaN
398,,,,,,,NaN,NaN,,,NaN,,NaN
399,76,126,127,59,100,14,NaN,NaN,42,103,NaN,6,NaN
400,,,,,,,NaN,NaN,,,NaN,,NaN
401,72,,127,53,100,14,NaN,NaN,42,98,NaN,6,NaN
402,,,,,,,NaN,NaN,,,NaN,,NaN
403,74,,127,59,100,14,NaN,NaN,42,101,NaN,6,NaN
404,,,,,,,NaN,NaN,,,NaN,,NaN
405,71,,123,54,100,14,NaN,NaN,42,95,NaN,6,NaN
406,,,,,,,NaN,NaN,,,NaN,,NaN
407,71,,123,57,100,14,NaN,NaN,42,97,NaN,6,NaN
408,,,,,,,NaN,NaN,,,NaN,,NaN
409,69,,121,55,100,14,NaN,NaN,42,92,NaN,6,NaN
410,,,,,,,NaN,NaN,,,NaN,,NaN
411,71,,120,57,100,14,NaN,NaN,41,96,NaN,5,NaN
412,,,,,,,NaN,NaN,,,NaN,,NaN
413,71,,124,56,100,14,NaN,NaN,41,96,NaN,5,NaN
414,,,,,,,NaN,NaN,,,NaN,,NaN
415,73,126,123,59,100,14,NaN,NaN,41,100,NaN,6,NaN
416,,,,,,,NaN,NaN,,,NaN,,NaN
417,73,126,123,58,100,14,NaN,NaN,42,99,NaN,6,NaN
418,,,,,,,NaN,NaN,,,NaN,,NaN
419,73,125,125,60,100,14,NaN,NaN,42,101,NaN,6,NaN
420,,,,,,,NaN,NaN,,,NaN,,NaN
421,72,124,125,57,100,14,NaN,NaN,42,99,NaN,6,NaN
422,,,,,,,NaN,NaN,,,NaN,,NaN
423,72,124,124,57,100,14,NaN,NaN,42,99,NaN,6,NaN
424,,,,,,,NaN,NaN,,,NaN,,NaN
425,73,123,122,58,100,14,NaN,NaN,42,100,NaN,6,NaN
426,,,,,,,NaN,NaN,,,NaN,,NaN
427,72,123,122,58,100,14,NaN,NaN,42,98,NaN,6,NaN
428,,,,,,,NaN,NaN,,,NaN,,NaN
429,74,123,123,60,100,14,NaN,NaN,41,102,NaN,6,NaN
430,,,,,,,NaN,NaN,,,NaN,,NaN
431,72,123,123,57,100,14,NaN,NaN,41,97,NaN,6,NaN
432,,,,,,,NaN,NaN,,,NaN,,NaN
433,74,123,123,59,100,14,NaN,NaN,41,101,NaN,6,NaN
434,,,,,,,NaN,NaN,,,NaN,,NaN
435,71,123,123,56,100,14,NaN,NaN,41,96,NaN,6,NaN
436,,,,,,,NaN,NaN,,,NaN,,NaN
437,73,123,124,58,100,14,NaN,NaN,41,98,NaN,6,NaN
438,,,,,,,NaN,NaN,,,NaN,,NaN
439,70,123,123,55,100,14,NaN,NaN,41,94,NaN,6,NaN
440,,,,,,,NaN,NaN,,,NaN,,NaN
