time,Solar8000/ART_MBP,Solar8000/ART_DBP,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,SNUADC/CVP,SNUADC/ECG_V5,Solar8000/ETCO2,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/PLETH_HR,SNUADC/ART,SNUADC/ECG_II
99,,,,,,NaN,NaN,,,,,NaN,NaN
100,0,0,75,97,0,NaN,NaN,0,,8,75,NaN,NaN
101,,,,,,NaN,NaN,,,,,NaN,NaN
102,1,1,76,96,1,NaN,NaN,0,,8,76,NaN,NaN
103,,,,,,NaN,NaN,,,,,NaN,NaN
104,1,1,75,97,1,NaN,NaN,0,,8,76,NaN,NaN
105,,,,,,NaN,NaN,,,,,NaN,NaN
106,2,2,74,97,2,NaN,NaN,0,,9,75,NaN,NaN
107,,,,,,NaN,NaN,,,,,NaN,NaN
108,2,2,74,97,2,NaN,NaN,0,,9,74,NaN,NaN
109,,,,,,NaN,NaN,,,,,NaN,NaN
110,2,2,73,97,2,NaN,NaN,0,,8,74,NaN,NaN
111,,,,,,NaN,NaN,,,,,NaN,NaN
112,2,2,73,97,2,NaN,NaN,0,,8,74,NaN,NaN
113,,,,,,NaN,NaN,,,,,NaN,NaN
114,1,1,73,97,1,NaN,NaN,0,,8,73,NaN,NaN
115,,,,,,NaN,NaN,,,,,NaN,NaN
116,1,1,73,97,1,NaN,NaN,0,,8,73,NaN,NaN
117,,,,,,NaN,NaN,,,,,NaN,NaN
118,0,0,73,97,0,NaN,NaN,0,,8,74,NaN,NaN
119,,,,,,NaN,NaN,,,,,NaN,NaN
120,0,0,73,97,0,NaN,NaN,0,,8,74,NaN,NaN
121,,,,,,NaN,NaN,,,,,NaN,NaN
122,0,0,74,97,0,NaN,NaN,0,,8,75,NaN,NaN
123,,,,,,NaN,NaN,,,,,NaN,NaN
124,0,0,75,97,0,NaN,NaN,0,,9,76,NaN,NaN
125,,,,,,NaN,NaN,,,,,NaN,NaN
126,0,0,75,97,0,NaN,NaN,0,,9,76,NaN,NaN
127,,,,,,NaN,NaN,,,,,NaN,NaN
128,0,0,75,97,0,NaN,NaN,0,,8,76,NaN,NaN
129,,,,,,NaN,NaN,,,,,NaN,NaN
130,0,0,76,97,0,NaN,NaN,0,,8,77,NaN,NaN
131,,,,,,NaN,NaN,,,,,NaN,NaN
132,0,0,77,97,0,NaN,NaN,0,,8,77,NaN,NaN
133,,,,,,NaN,NaN,,,,,NaN,NaN
134,0,0,77,97,0,NaN,NaN,0,,8,78,NaN,NaN
135,,,,,,NaN,NaN,,,,,NaN,NaN
136,0,0,77,97,0,NaN,NaN,0,,8,78,NaN,NaN
137,,,,,,NaN,NaN,,,,,NaN,NaN
138,0,0,77,97,0,NaN,NaN,0,,8,78,NaN,NaN
139,,,,,,NaN,NaN,,,,,NaN,NaN
140,0,0,77,97,0,NaN,NaN,0,,8,78,NaN,NaN
141,,,,,,NaN,NaN,,,,,NaN,NaN
142,0,0,77,97,0,NaN,NaN,0,,8,78,NaN,NaN
143,,,,,,NaN,NaN,,,,,NaN,NaN
144,0,0,77,98,0,NaN,NaN,0,,8,78,NaN,NaN
145,,,,,,NaN,NaN,,,,,NaN,NaN
146,0,0,78,98,0,NaN,NaN,0,,8,79,NaN,NaN
147,,,,,,NaN,NaN,,,,,NaN,NaN
148,0,0,79,98,0,NaN,NaN,0,,8,79,NaN,NaN
149,,,,,,NaN,NaN,,,,,NaN,NaN
150,0,0,79,98,0,NaN,NaN,0,,8,79,NaN,NaN
151,,,,,,NaN,NaN,,,,,NaN,NaN
152,0,0,79,97,0,NaN,NaN,0,,8,79,NaN,NaN
153,,,,,,NaN,NaN,,,,,NaN,NaN
154,0,0,79,97,0,NaN,NaN,0,,8,79,NaN,NaN
155,,,,,,NaN,NaN,,,,,NaN,NaN
156,0,0,79,97,0,NaN,NaN,0,,8,80,NaN,NaN
157,,,,,,NaN,NaN,,,,,NaN,NaN
158,0,0,79,98,0,NaN,NaN,0,,8,80,NaN,NaN
159,,,,,,NaN,NaN,,,,,NaN,NaN
160,0,0,79,98,0,NaN,NaN,0,,8,80,NaN,NaN
161,,,,,,NaN,NaN,,,,,NaN,NaN
162,0,0,79,98,0,NaN,NaN,0,,8,80,NaN,NaN
163,,,,,,NaN,NaN,,,,,NaN,NaN
164,0,0,79,98,0,NaN,NaN,0,,8,80,NaN,NaN
165,,,,,,NaN,NaN,,,,,NaN,NaN
166,0,0,79,97,0,NaN,NaN,0,,8,80,NaN,NaN
167,,,,,,NaN,NaN,,,,,NaN,NaN
168,0,0,79,97,0,NaN,NaN,0,,8,80,NaN,NaN
169,,,,,,NaN,NaN,,,,,NaN,NaN
170,0,0,79,97,0,NaN,NaN,0,,8,80,NaN,NaN
171,,,,,,NaN,NaN,,,,,NaN,NaN
172,0,0,79,97,0,NaN,NaN,0,,8,79,NaN,NaN
173,,,,,,NaN,NaN,,,,,NaN,NaN
174,0,0,77,97,0,NaN,NaN,0,,8,78,NaN,NaN
175,,,,,,NaN,NaN,,,,,NaN,NaN
176,0,0,77,97,0,NaN,NaN,0,,8,77,NaN,NaN
177,,,,,,NaN,NaN,,,,,NaN,NaN
178,0,-1,76,97,3,NaN,NaN,0,,8,76,NaN,NaN
179,,,,,,NaN,NaN,,,,,NaN,NaN
180,0,-2,76,98,3,NaN,NaN,0,,9,76,NaN,NaN
181,,,,,,NaN,NaN,,,,,NaN,NaN
182,0,-2,75,98,3,NaN,NaN,0,,9,75,NaN,NaN
183,,,,,,NaN,NaN,,,,,NaN,NaN
184,0,1,75,98,1,NaN,NaN,0,,9,75,NaN,NaN
185,,,,,,NaN,NaN,,,,,NaN,NaN
186,0,-1,74,98,1,NaN,NaN,0,,9,76,NaN,NaN
187,,,,,,NaN,NaN,,,,,NaN,NaN
188,0,-1,76,98,1,NaN,NaN,0,,9,75,NaN,NaN
189,,,,,,NaN,NaN,,,,,NaN,NaN
190,0,0,74,98,0,NaN,NaN,0,,9,75,NaN,NaN
191,,,,,,NaN,NaN,,,,,NaN,NaN
192,0,-5,74,98,4,NaN,NaN,0,,9,75,NaN,NaN
193,,,,,,NaN,NaN,,,,,NaN,NaN
194,0,-3,73,98,2,NaN,NaN,0,,9,74,NaN,NaN
195,,,,,,NaN,NaN,,,,,NaN,NaN
196,1,-15,75,98,12,NaN,NaN,0,,8,75,NaN,NaN
197,,,,,,NaN,NaN,,,,,NaN,NaN
198,1,-15,75,98,12,NaN,NaN,0,,8,76,NaN,NaN
199,,,,,,NaN,NaN,,,,,NaN,NaN
200,1,-12,75,98,12,NaN,NaN,0,,10,76,NaN,NaN
201,,,,,,NaN,NaN,,,,,NaN,NaN
202,0,-8,76,98,10,NaN,NaN,0,,10,76,NaN,NaN
203,,,,,,NaN,NaN,,,,,NaN,NaN
204,0,-6,75,98,8,NaN,NaN,0,,10,76,NaN,NaN
205,,,,,,NaN,NaN,,,,,NaN,NaN
206,0,-6,75,98,8,NaN,NaN,0,,10,76,NaN,NaN
207,,,,,,NaN,NaN,,,,,NaN,NaN
208,0,0,75,98,0,NaN,NaN,0,,10,76,NaN,NaN
209,,,,,,NaN,NaN,,,,,NaN,NaN
210,0,,75,98,,NaN,NaN,0,,9,75,NaN,NaN
211,,,,,,NaN,NaN,,,,,NaN,NaN
212,0,,75,98,,NaN,NaN,0,,9,76,NaN,NaN
213,,,,,,NaN,NaN,,,,,NaN,NaN
214,0,,76,98,,NaN,NaN,0,,9,77,NaN,NaN
215,,,,,,NaN,NaN,,,,,NaN,NaN
216,0,,77,98,,NaN,NaN,0,,9,78,NaN,NaN
217,,,,,,NaN,NaN,,,,,NaN,NaN
218,0,,78,98,,NaN,NaN,0,,9,78,NaN,NaN
219,,,,,,NaN,NaN,,,,,NaN,NaN
220,0,,77,97,,NaN,NaN,0,,9,78,NaN,NaN
221,,,,,,NaN,NaN,,,,,NaN,NaN
222,0,0,77,97,0,NaN,NaN,0,,9,78,NaN,NaN
223,,,,,,NaN,NaN,,,,,NaN,NaN
224,0,0,76,97,0,NaN,NaN,0,,9,77,NaN,NaN
225,,,,,,NaN,NaN,,,,,NaN,NaN
226,0,0,76,97,0,NaN,NaN,0,,9,77,NaN,NaN
227,,,,,,NaN,NaN,,,,,NaN,NaN
228,0,0,76,97,0,NaN,NaN,0,,9,76,NaN,NaN
229,,,,,,NaN,NaN,,,,,NaN,NaN
230,0,0,80,97,0,NaN,NaN,0,,9,76,NaN,NaN
231,,,,,,NaN,NaN,,,,,NaN,NaN
232,0,0,77,97,0,NaN,NaN,0,,9,77,NaN,NaN
233,,,,,,NaN,NaN,,,,,NaN,NaN
234,0,0,80,97,0,NaN,NaN,0,,9,78,NaN,NaN
235,,,,,,NaN,NaN,,,,,NaN,NaN
236,0,0,76,98,0,NaN,NaN,0,,9,79,NaN,NaN
237,,,,,,NaN,NaN,,,,,NaN,NaN
238,0,0,78,98,0,NaN,NaN,0,,10,78,NaN,NaN
239,,,,,,NaN,NaN,,,,,NaN,NaN
240,0,0,75,98,0,NaN,NaN,0,,10,76,NaN,NaN
241,,,,,,NaN,NaN,,,,,NaN,NaN
242,0,0,75,98,0,NaN,NaN,0,,10,75,NaN,NaN
243,,,,,,NaN,NaN,,,,,NaN,NaN
244,0,0,76,98,0,NaN,NaN,0,,9,75,NaN,NaN
245,,,,,,NaN,NaN,,,,,NaN,NaN
246,0,0,76,98,0,NaN,NaN,0,,9,76,NaN,NaN
247,,,,,,NaN,NaN,,,,,NaN,NaN
248,0,0,76,98,0,NaN,NaN,0,,9,77,NaN,NaN
249,,,,,,NaN,NaN,,,,,NaN,NaN
250,0,0,77,98,0,NaN,NaN,0,,9,77,NaN,NaN
251,,,,,,NaN,NaN,,,,,NaN,NaN
252,0,0,76,97,0,NaN,NaN,0,,9,77,NaN,NaN
253,,,,,,NaN,NaN,,,,,NaN,NaN
254,0,0,76,97,0,NaN,NaN,0,,9,77,NaN,NaN
255,,,,,,NaN,NaN,,,,,NaN,NaN
256,0,0,76,97,0,NaN,NaN,0,,9,77,NaN,NaN
257,,,,,,NaN,NaN,,,,,NaN,NaN
258,0,0,76,97,0,NaN,NaN,0,,9,76,NaN,NaN
259,,,,,,NaN,NaN,,,,,NaN,NaN
260,0,0,75,97,0,NaN,NaN,0,,9,75,NaN,NaN
261,,,,,,NaN,NaN,,,,,NaN,NaN
262,0,0,74,97,0,NaN,NaN,0,,9,75,NaN,NaN
263,,,,,,NaN,NaN,,,,,NaN,NaN
264,0,0,73,97,0,NaN,NaN,0,,8,74,NaN,NaN
265,,,,,,NaN,NaN,,,,,NaN,NaN
266,0,0,74,97,0,NaN,NaN,0,,8,74,NaN,NaN
267,,,,,,NaN,NaN,,,,,NaN,NaN
268,0,0,74,97,0,NaN,NaN,0,,9,75,NaN,NaN
269,,,,,,NaN,NaN,,,,,NaN,NaN
270,0,0,77,97,0,NaN,NaN,0,,9,73,NaN,NaN
271,,,,,,NaN,NaN,,,,,NaN,NaN
272,0,0,75,98,0,NaN,NaN,0,,9,73,NaN,NaN
273,,,,,,NaN,NaN,,,,,NaN,NaN
274,0,0,76,98,0,NaN,NaN,0,,9,74,NaN,NaN
275,,,,,,NaN,NaN,,,,,NaN,NaN
276,0,0,84,98,0,NaN,NaN,0,,9,70,NaN,NaN
277,,,,,,NaN,NaN,,,,,NaN,NaN
278,0,0,85,98,0,NaN,NaN,0,,9,69,NaN,NaN
279,,,,,,NaN,NaN,,,,,NaN,NaN
280,0,0,81,98,0,NaN,NaN,0,,9,70,NaN,NaN
281,,,,,,NaN,NaN,,,,,NaN,NaN
282,0,0,75,98,0,NaN,NaN,0,,9,69,NaN,NaN
283,,,,,,NaN,NaN,,,,,NaN,NaN
284,0,0,71,98,0,NaN,NaN,0,,9,70,NaN,NaN
285,,,,,,NaN,NaN,,,,,NaN,NaN
286,0,0,73,98,0,NaN,NaN,0,,9,73,NaN,NaN
287,,,,,,NaN,NaN,,,,,NaN,NaN
288,0,0,74,97,0,NaN,NaN,0,,9,74,NaN,NaN
289,,,,,,NaN,NaN,,,,,NaN,NaN
290,0,0,74,97,0,NaN,NaN,0,,9,74,NaN,NaN
291,,,,,,NaN,NaN,,,,,NaN,NaN
292,0,0,75,97,0,NaN,NaN,0,,9,75,NaN,NaN
293,,,,,,NaN,NaN,,,,,NaN,NaN
294,0,0,75,97,0,NaN,NaN,0,,9,75,NaN,NaN
295,,,,,,NaN,NaN,,,,,NaN,NaN
296,0,0,75,97,0,NaN,NaN,0,,9,76,NaN,NaN
297,,,,,,NaN,NaN,,,,,NaN,NaN
298,0,0,75,97,0,NaN,NaN,0,,10,76,NaN,NaN
299,,,,,,NaN,NaN,,,,,NaN,NaN
300,0,0,76,97,0,NaN,NaN,0,,10,76,NaN,NaN
301,,,,,,NaN,NaN,,,,,NaN,NaN
302,0,0,76,97,0,NaN,NaN,0,,9,77,NaN,NaN
303,,,,,,NaN,NaN,,,,,NaN,NaN
304,0,0,76,97,0,NaN,NaN,0,,9,77,NaN,NaN
305,,,,,,NaN,NaN,,,,,NaN,NaN
306,0,0,76,97,0,NaN,NaN,0,,9,76,NaN,NaN
307,,,,,,NaN,NaN,,,,,NaN,NaN
308,0,0,76,97,0,NaN,NaN,0,,9,76,NaN,NaN
309,,,,,,NaN,NaN,,,,,NaN,NaN
310,0,0,75,97,0,NaN,NaN,0,,9,75,NaN,NaN
311,,,,,,NaN,NaN,,,,,NaN,NaN
312,0,0,75,97,0,NaN,NaN,0,,9,75,NaN,NaN
313,,,,,,NaN,NaN,,,,,NaN,NaN
314,0,0,75,97,0,NaN,NaN,0,,9,75,NaN,NaN
315,,,,,,NaN,NaN,,,,,NaN,NaN
316,0,0,74,98,0,NaN,NaN,0,,9,74,NaN,NaN
317,,,,,,NaN,NaN,,,,,NaN,NaN
318,0,0,74,98,0,NaN,NaN,0,,9,75,NaN,NaN
319,,,,,,NaN,NaN,,,,,NaN,NaN
320,0,0,73,98,0,NaN,NaN,0,,9,74,NaN,NaN
321,,,,,,NaN,NaN,,,,,NaN,NaN
322,0,0,74,98,0,NaN,NaN,0,,9,74,NaN,NaN
323,,,,,,NaN,NaN,,,,,NaN,NaN
324,0,0,74,98,0,NaN,NaN,0,,10,74,NaN,NaN
325,,,,,,NaN,NaN,,,,,NaN,NaN
326,0,0,74,98,0,NaN,NaN,0,,10,74,NaN,NaN
327,,,,,,NaN,NaN,,,,,NaN,NaN
328,0,0,74,97,0,NaN,NaN,0,,9,74,NaN,NaN
329,,,,,,NaN,NaN,,,,,NaN,NaN
330,0,0,74,98,0,NaN,NaN,0,,9,75,NaN,NaN
331,,,,,,NaN,NaN,,,,,NaN,NaN
332,0,0,76,98,0,NaN,NaN,0,,9,75,NaN,NaN
333,,,,,,NaN,NaN,,,,,NaN,NaN
334,0,0,75,98,0,NaN,NaN,0,,9,75,NaN,NaN
335,,,,,,NaN,NaN,,,,,NaN,NaN
336,0,0,75,97,0,NaN,NaN,0,,9,75,NaN,NaN
337,,,,,,NaN,NaN,,,,,NaN,NaN
338,0,0,75,97,0,NaN,NaN,0,,9,75,NaN,NaN
339,,,,,,NaN,NaN,,,,,NaN,NaN
340,0,0,75,97,0,NaN,NaN,0,,9,75,NaN,NaN
341,,,,,,NaN,NaN,,,,,NaN,NaN
342,0,0,75,97,0,NaN,NaN,0,,10,76,NaN,NaN
343,,,,,,NaN,NaN,,,,,NaN,NaN
344,0,0,74,97,0,NaN,NaN,0,,10,75,NaN,NaN
345,,,,,,NaN,NaN,,,,,NaN,NaN
346,0,0,74,97,0,NaN,NaN,0,,10,75,NaN,NaN
347,,,,,,NaN,NaN,,,,,NaN,NaN
348,0,0,74,97,0,NaN,NaN,0,,10,75,NaN,NaN
349,,,,,,NaN,NaN,,,,,NaN,NaN
350,1,1,74,97,1,NaN,NaN,0,,9,74,NaN,NaN
351,,,,,,NaN,NaN,,,,,NaN,NaN
352,1,1,74,97,1,NaN,NaN,0,,9,75,NaN,NaN
353,,,,,,NaN,NaN,,,,,NaN,NaN
354,0,0,75,97,0,NaN,NaN,0,,9,76,NaN,NaN
355,,,,,,NaN,NaN,,,,,NaN,NaN
356,0,0,75,97,0,NaN,NaN,0,,9,76,NaN,NaN
357,,,,,,NaN,NaN,,,,,NaN,NaN
358,0,0,75,97,0,NaN,NaN,0,,10,76,NaN,NaN
359,,,,,,NaN,NaN,,,,,NaN,NaN
360,0,0,76,97,0,NaN,NaN,0,,10,76,NaN,NaN
361,,,,,,NaN,NaN,,,,,NaN,NaN
362,0,0,76,97,0,NaN,NaN,0,,10,76,NaN,NaN
363,,,,,,NaN,NaN,,,,,NaN,NaN
364,0,0,76,97,0,NaN,NaN,0,,10,77,NaN,NaN
365,,,,,,NaN,NaN,,,,,NaN,NaN
366,1,1,77,97,1,NaN,NaN,0,,10,77,NaN,NaN
367,,,,,,NaN,NaN,,,,,NaN,NaN
368,1,1,77,97,1,NaN,NaN,0,,10,78,NaN,NaN
369,,,,,,NaN,NaN,,,,,NaN,NaN
370,1,1,78,97,1,NaN,NaN,0,,10,78,NaN,NaN
371,,,,,,NaN,NaN,,,,,NaN,NaN
372,1,1,78,97,1,NaN,NaN,0,,10,79,NaN,NaN
373,,,,,,NaN,NaN,,,,,NaN,NaN
374,0,0,78,97,0,NaN,NaN,0,,10,77,NaN,NaN
375,,,,,,NaN,NaN,,,,,NaN,NaN
376,0,0,77,97,0,NaN,NaN,0,,9,76,NaN,NaN
377,,,,,,NaN,NaN,,,,,NaN,NaN
378,0,0,77,97,0,NaN,NaN,0,,9,76,NaN,NaN
379,,,,,,NaN,NaN,,,,,NaN,NaN
380,0,0,76,97,0,NaN,NaN,0,,10,75,NaN,NaN
381,,,,,,NaN,NaN,,,,,NaN,NaN
382,1,1,76,97,1,NaN,NaN,0,,10,76,NaN,NaN
383,,,,,,NaN,NaN,,,,,NaN,NaN
384,1,1,75,97,1,NaN,NaN,0,,10,76,NaN,NaN
385,,,,,,NaN,NaN,,,,,NaN,NaN
386,1,1,75,97,1,NaN,NaN,0,,10,76,NaN,NaN
387,,,,,,NaN,NaN,,,,,NaN,NaN
388,1,1,75,97,1,NaN,NaN,0,,9,76,NaN,NaN
389,,,,,,NaN,NaN,,,,,NaN,NaN
390,1,1,75,97,1,NaN,NaN,0,,9,76,NaN,NaN
391,,,,,,NaN,NaN,,,,,NaN,NaN
392,1,1,76,97,1,NaN,NaN,0,,9,76,NaN,NaN
393,,,,,,NaN,NaN,,,,,NaN,NaN
394,1,1,76,97,1,NaN,NaN,0,,9,77,NaN,NaN
395,,,,,,NaN,NaN,,,,,NaN,NaN
396,1,1,77,97,1,NaN,NaN,0,,9,77,NaN,NaN
397,,,,,,NaN,NaN,,,,,NaN,NaN
398,1,1,76,97,1,NaN,NaN,0,,9,77,NaN,NaN
399,,,,,,NaN,NaN,,,,,NaN,NaN
400,1,1,76,97,1,NaN,NaN,0,,9,77,NaN,NaN
401,,,,,,NaN,NaN,,,,,NaN,NaN
402,1,1,76,97,1,NaN,NaN,0,,9,77,NaN,NaN
403,,,,,,NaN,NaN,,,,,NaN,NaN
404,1,1,76,97,1,NaN,NaN,0,,9,76,NaN,NaN
405,,,,,,NaN,NaN,,,,,NaN,NaN
406,1,1,76,97,1,NaN,NaN,0,,9,76,NaN,NaN
407,,,,,,NaN,NaN,,,,,NaN,NaN
408,1,1,76,97,1,NaN,NaN,0,,9,76,NaN,NaN
409,,,,,,NaN,NaN,,,,,NaN,NaN
410,1,1,80,97,1,NaN,NaN,0,,9,76,NaN,NaN
411,,,,,,NaN,NaN,,,,,NaN,NaN
412,1,1,81,97,1,NaN,NaN,0,,9,76,NaN,NaN
413,,,,,,NaN,NaN,,,,,NaN,NaN
414,1,1,81,97,1,NaN,NaN,0,,9,77,NaN,NaN
415,,,,,,NaN,NaN,,,,,NaN,NaN
416,1,1,81,98,1,NaN,NaN,0,,9,77,NaN,NaN
417,,,,,,NaN,NaN,,,,,NaN,NaN
418,1,1,81,97,1,NaN,NaN,0,,10,78,NaN,NaN
419,,,,,,NaN,NaN,,,,,NaN,NaN
420,1,1,81,97,1,NaN,NaN,0,,10,78,NaN,NaN
421,,,,,,NaN,NaN,,,,,NaN,NaN
422,1,1,81,97,1,NaN,NaN,0,,10,77,NaN,NaN
423,,,,,,NaN,NaN,,,,,NaN,NaN
424,1,1,82,97,1,NaN,NaN,0,,10,78,NaN,NaN
425,,,,,,NaN,NaN,,,,,NaN,NaN
426,1,1,78,97,1,NaN,NaN,0,,10,78,NaN,NaN
427,,,,,,NaN,NaN,,,,,NaN,NaN
428,1,1,78,97,1,NaN,NaN,0,,10,79,NaN,NaN
429,,,,,,NaN,NaN,,,,,NaN,NaN
430,0,0,78,97,0,NaN,NaN,0,,10,79,NaN,NaN
431,,,,,,NaN,NaN,,,,,NaN,NaN
432,0,0,78,97,0,NaN,NaN,0,,10,78,NaN,NaN
433,,,,,,NaN,NaN,,,,,NaN,NaN
434,1,1,78,97,1,NaN,NaN,0,,10,77,NaN,NaN
435,,,,,,NaN,NaN,,,,,NaN,NaN
436,1,1,77,97,1,NaN,NaN,0,,10,77,NaN,NaN
437,,,,,,NaN,NaN,,,,,NaN,NaN
438,1,1,76,97,1,NaN,NaN,0,,10,77,NaN,NaN
439,,,,,,NaN,NaN,,,,,NaN,NaN
440,1,1,76,97,1,NaN,NaN,0,,10,76,NaN,NaN
